origin,2018_week_origin_mean_dep_delay,2018_week_origin_std_dep_delay,2018_week_origin_skew_dep_delay,2018_month_origin_mean_dep_delay,2018_month_origin_std_dep_delay,2018_month_origin_skew_dep_delay,2019_week_origin_mean_dep_delay,2019_week_origin_std_dep_delay,2019_week_origin_skew_dep_delay,2019_month_origin_mean_dep_delay,2019_month_origin_std_dep_delay,2019_month_origin_skew_dep_delay
HSV,7.875,29.350992644726166,2.554768479454909,3.6375545851528384,26.969660934480604,2.9888378760895162,1.0604395604395604,20.951975495255468,3.4861561010032434,1.9273399014778325,23.238661848432233,3.521236014158763
HTS,5.857142857142857,19.819022447982913,1.2868674302837173,5.822222222222222,28.5781317266152,3.1517845592035436,9.678571428571429,34.728634328577364,1.9716065378492929,2.4272727272727272,24.861251339822346,2.288902958816655
HVN,17.941176470588236,52.51246350657539,1.8717674236994963,9.931506849315069,42.57553052032068,2.03830782733577,5.705882352941177,25.765201109933027,2.8873722380918214,9.421875,40.313771205501524,2.452552987896812
HYS,3.5,27.40106169144148,3.390696407484464,-0.8867924528301887,17.90429726818772,3.5500965584793223,4.434782608695652,33.77711178642145,2.1157389053945237,5.044943820224719,36.18635796199482,2.3679529566922564
IAD,9.745945945945946,27.950773830526966,2.8839958642135244,3.8641195501463566,25.46403292480527,3.5036682433226654,2.1819241982507287,22.39073351382515,4.205639183991421,4.021641118124436,25.385596526365084,3.468376044982559
IAG,23.41176470588235,36.21128764544526,1.3868621073110572,1.2295081967213115,26.031643207593174,2.4010039192545545,21.7,43.47667251103262,1.9327678070433951,12.840909090909092,34.19094343693696,2.1694627563103666
IAH,4.673684210526316,21.536288583928243,3.4396889033110964,3.2639254303540555,22.65882873754698,3.640015239831414,7.184628975265018,24.084933401936187,2.925979196355915,3.958994708994709,22.444877588544397,3.557047760629138
ICT,6.297435897435897,28.172036724122417,2.8661876905682138,3.4776286353467563,26.180505569257708,3.218240284644327,2.705069124423963,23.53200385998813,3.149215295434446,0.8173719376391982,22.26349875489276,3.7016112268045878
IDA,1.6875,23.20597524850103,3.4861772120595464,-2.1030927835051547,17.999703242275956,3.6849363692100217,8.68,30.087925573327954,2.995883901238368,1.0315315315315314,22.52105895126451,3.5998622393320123
IFP,-3.2857142857142856,9.068522219088138,-0.48398164076229633,-3.5483870967741935,11.960598395502402,0.8961098665177887,,,,,,
ILM,13.02127659574468,26.978278288802066,2.013441289853386,7.036876355748373,27.587503988374745,2.9571700308635753,1.664516129032258,22.10050167478865,3.604555550276798,1.805722891566265,23.68635994492274,3.6647315234209765
IMT,3.769230769230769,12.981742603581425,1.3031886539982547,0.07692307692307693,19.676647006177948,3.7547413546521105,0.5833333333333334,41.87309471016037,3.41364383012486,7.886792452830188,37.93752981362838,2.0776291510055858
IND,10.736416184971098,25.83870694313585,2.547338590773982,6.015255530129672,24.69238561978538,3.0206412393990365,3.1701199563794984,21.599001808742617,3.9612251460810093,5.119551031062386,25.208039071799565,3.5165194105117936
INL,-3.1538461538461537,32.24346485167228,3.4681318895808366,2.6458333333333335,36.39762067471089,2.9163777606469905,1.0833333333333333,49.782177046761944,3.3732068920949194,-4.566037735849057,26.384369960818045,4.871936348277653
IPT,1.9090909090909092,24.47224773270549,2.279328464221874,-0.66,26.203761998177722,2.0516711901701576,-5.3,4.056544780420347,-0.8269328679690873,-7.275862068965517,9.407051123356268,3.6314625192716146
ISN,-1.3793103448275863,12.1696748198822,1.3749316830776788,2.8455882352941178,23.88239043698828,2.802392159094088,3.2222222222222223,34.79007338809745,3.0120801577329033,2.5714285714285716,29.85525388894409,2.918919683625432
ISP,21.52212389380531,32.41667817683095,2.119960584568928,7.16243654822335,26.312670341374492,3.0258548316588563,8.46875,27.81970567101757,3.715961819999753,7.48,25.654450680040995,3.3586376250385843
ITH,20.543478260869566,42.425729364116954,1.8838050687584298,7.666666666666667,36.372406813422856,2.6404118393199894,-1.9545454545454546,18.862975357124,3.1328101550245493,3.098360655737705,28.10090037157865,3.144891603809456
ITO,-1.5614035087719298,7.274680405617924,1.156106664417776,-1.126984126984127,11.139265979068428,3.1754754643127714,-0.7868852459016393,12.210434169791908,3.145782435788147,-2.4581589958158996,9.959947376360306,3.619499108217175
