dest,2018_week_dest_mean_arr_delay,2018_week_dest_std_arr_delay,2018_week_dest_skew_arr_delay,2018_month_dest_mean_arr_delay,2018_month_dest_std_arr_delay,2018_month_dest_skew_arr_delay,2019_week_dest_mean_arr_delay,2019_week_dest_std_arr_delay,2019_week_dest_skew_arr_delay,2019_month_dest_mean_arr_delay,2019_month_dest_std_arr_delay,2019_month_dest_skew_arr_delay
BLV,11.444444444444445,32.06651583674935,2.343492804194639,-0.7887323943661971,25.13672071631901,2.3387175175438397,6.277777777777778,20.891331035104024,0.10273861395948514,5.333333333333333,19.181774583976225,0.9409019822496267
BMI,10.423076923076923,23.53499368178819,0.8969681930129304,3.158590308370044,29.413160827466058,2.1124822772876817,-1.7142857142857142,22.599046066524206,1.5327278018395547,1.0434782608695652,28.29530551269174,2.7638422073982456
BNA,4.330335241210139,27.667634352079794,2.111372161818664,-1.0254926776351474,26.40477587607105,2.315055506485743,1.2407541696881799,25.237767296743478,1.8124637432702577,-0.2174485596707819,26.354301074503315,2.389435686271339
BOI,-0.8716814159292036,25.77742689446736,2.7867916066713647,-1.7169325784868759,25.30754511630238,2.8312409310261866,0.4356223175965665,28.78442562270597,2.7828415638947597,-1.6852312282446544,24.798508936152935,2.7091147709737147
BOS,18.433255269320842,38.774197925691894,1.4228508901218277,3.936360978462138,33.23132262612158,1.8932017976836404,-2.8879032258064514,27.837791814814643,2.3752253503117893,3.735296921170527,34.70502956595061,2.0600678067437856
BPT,8.266666666666667,37.45753150791796,1.5989141772883415,0.6666666666666666,33.289519227460765,2.487926899422676,2.85,20.386463517168497,1.572746461977775,2.6049382716049383,22.51648230316276,2.6602640056457045
BQK,6.571428571428571,28.004709180131403,1.5494515613900866,-1.3333333333333333,22.38504165933336,2.765943714805427,-2.0,17.839562774911272,1.7750999544926396,-3.36144578313253,19.54206114978102,2.6493002199423996
BQN,18.423076923076923,29.279580703176848,1.3868184098121878,13.010204081632653,29.582139672220936,1.3962510212665669,5.03921568627451,23.026906682673406,1.4281057665603727,6.248704663212435,29.217936679960776,1.9463439882179592
BRD,-13.8,20.719287847049397,0.19927536100978896,-13.73913043478261,28.9577736886804,2.2121575683927137,-3.3636363636363638,34.86623790222492,1.6194934139443575,-9.042553191489361,26.708537510470244,1.531257443355561
BRO,7.742857142857143,38.47867465702716,1.9386715138636277,-1.4259259259259258,24.827055357185728,2.7569415631575045,7.641025641025641,31.528172180220675,1.4562024974174628,0.14285714285714285,22.399966174289496,2.243382580135379
