tail_num,2018_week_tail_num_mean_arr_delay,2018_week_tail_num_std_arr_delay,2018_week_tail_num_skew_arr_delay,2018_month_tail_num_mean_arr_delay,2018_month_tail_num_std_arr_delay,2018_month_tail_num_skew_arr_delay,2019_week_tail_num_mean_arr_delay,2019_week_tail_num_std_arr_delay,2019_week_tail_num_skew_arr_delay,2019_month_tail_num_mean_arr_delay,2019_month_tail_num_std_arr_delay,2019_month_tail_num_skew_arr_delay
N741SA,3.8823529411764706,12.860003077153014,0.2377435625828018,-1.655367231638418,20.772301460381463,2.961874345303694,7.829268292682927,34.82449026118285,2.361626455971996,2.0701754385964914,25.972061674347287,2.3903737888578562
N741UW,-2.6666666666666665,17.601406870177275,0.2157229603198454,0.8737864077669902,32.157906846955385,2.7065154449167115,-13.46875,14.996740237196063,0.17060074542137565,-5.892086330935252,18.655803249687317,1.2342764255647272
N741YX,14.5,34.3746999986909,1.1027961532626995,1.1496062992125984,33.74909257807932,1.2515438679906419,0.13793103448275862,26.233463005878356,1.3496465976828853,3.566666666666667,29.114301932741103,1.9346198553818752
N742PS,14.083333333333334,42.950848214195275,1.6012769046190343,-4.147826086956521,26.646563742211395,2.519858317257175,8.558823529411764,27.78509648089715,1.0543900023115478,-0.27350427350427353,26.364037657000175,2.558355125895034
N742SK,22.047619047619047,49.192963104976904,1.5691617605397485,14.575757575757576,42.85223907731537,1.8473622958226605,,,,3.7142857142857144,36.89711134217454,2.540486402960733
N742SW,7.393939393939394,28.605003270777864,2.5740465146566898,2.644578313253012,22.995919284962202,2.340065616192198,11.46875,28.044876911260317,1.4434240390751014,4.131782945736434,26.72469008384418,1.9151329060048046
N742YX,4.64,29.906632486233995,1.4799640165266632,3.1136363636363638,32.97226401552534,1.608132327021938,2.392857142857143,23.69925656860911,1.734637702202242,3.827067669172932,27.97604800165385,1.6102284278188141
N743SK,5.7407407407407405,30.784102531354858,1.777537864864741,-4.048,23.962287574571246,2.1186925559869687,30.103448275862068,41.81963382669694,0.9689347545590528,16.0,42.05948168962618,1.3495973111172923
N743YX,25.0,49.053178140812506,1.4009555757601275,1.9841269841269842,33.87907534204183,2.1870857524168805,10.428571428571429,47.33992800024925,1.2628600225164894,14.366412213740459,40.0626828294151,0.9807152784706014
N744EV,51.4375,56.18892981124781,0.010079321104041474,20.378947368421052,50.61161647571075,1.094437707541744,45.733333333333334,60.21280270171288,0.6664100695910506,14.74468085106383,48.03085381224375,1.6858575080762865
N744P,2.3870967741935485,29.288993859303574,2.7563375002875725,-0.8888888888888888,25.104532417328954,2.2047409382698544,-9.909090909090908,13.457002232700605,-0.016595571289289675,-7.284403669724771,19.229650977707077,1.8310230916429076
N744SK,3.175,18.512487123214413,0.5919192542372061,0.0,28.09707783974217,1.7991971709566605,32.5625,52.91193992944101,0.8711057357046724,0.012048192771084338,31.591327531039607,2.548669662228225
N744SW,-7.651162790697675,10.831795614521765,-0.6946562243196706,-0.5174418604651163,25.50942351670251,2.6106600386503036,,,,,,
N744YX,5.7,37.128992296661075,1.9969742683229423,-4.634328358208955,25.046885672201498,2.216949177885807,4.470588235294118,24.96935733462317,1.2755554685779056,5.823076923076923,36.44949046009064,1.802303175642849
N745SK,16.885714285714286,38.91300359442195,1.489143337446198,11.343373493975903,40.077306184108835,1.3410897580717807,29.0,47.15879961314093,0.871297008969408,10.080882352941176,37.141183121437194,1.839392862246082
N745SW,5.897435897435898,19.156962279512832,0.1615553579247641,5.871794871794871,25.3083482207132,1.911679568157242,3.914285714285714,26.02755488795246,3.063826829176052,1.2620689655172415,22.21236539059294,1.90869815237939
