unique_carrier,frequency,relative_frequency
L2,2591,0.0011023200625229473
14Q,2432,0.0010346747943094589
OZ,2425,0.0010316967007403116
MW,2398,0.001020209768402172
CI,2344,0.000997235903725893
ZX,2286,0.0009725602712958153
4O,2286,0.0009725602712958153
9X,2275,0.0009678804099728695
CV,2216,0.0009427793356043424
WI,2200,0.0009359722645891486
JL,2089,0.0008887482094212416
EK,2049,0.000871730531883257
KV,2046,0.0008704542060679082
FI,1986,0.0008449276897609314
9S,1920,0.0008168485218232569
X9,1901,0.0008087651249927143
RU,1884,0.0008015326120390709
ZK,1822,0.0007751552118551949
EE,1816,0.0007726025602244972
SK,1803,0.0007670718150246522
BR,1799,0.0007653700472708538
5D,1781,0.0007577120923787608
QF,1766,0.0007513304633020166
TK,1750,0.0007445233922868228
1SQ,1743,0.0007415452987176754
1YQ,1708,0.000726654830871939
SNK,1618,0.0006883650564114738
IB,1610,0.0006849615209038769
UP,1602,0.00068155798539628
NH,1590,0.0006764526821348846
AN,1586,0.0006747509143810863
3E,1480,0.0006296540689054273
CA,1476,0.0006279523011516288
SEB,1438,0.0006117855074905435
3EQ,1431,0.0006088074139213962
HU,1401,0.0005960441557679078
2LQ,1396,0.0005939169460756598
SQ,1389,0.0005909388525065125
JJ,1367,0.000581579129860621
BW,1362,0.000579451920168373
QR,1352,0.0005751975007838768
LX,1350,0.0005743466169069775
EI,1336,0.000568390429768683
AJQ,1262,0.0005369077263234116
2HQ,1175,0.0004998942776782953
1BQ,1115,0.0004743677613713185
KH,1100,0.0004679861322945743
K5,1075,0.00045735008383333397
TS,1068,0.0004543719902641867
PR,1054,0.0004484158031258921
L7,1046,0.0004450122676182952
M3,1044,0.00044416138374139596
NZ,1008,0.0004288454739572099
KZ,994,0.0004228892868189153
HBQ,973,0.00041395500611147345
W8,961,0.0004088497028500781
LY,960,0.00040842426091162846
EY,954,0.0004058716092809308
2E,940,0.0003999154221426362
WG,930,0.0003956610027581401
CZ,919,0.00039098114143519433
MU,918,0.0003905556994967447
15Q,885,0.0003765161155279075
2F,881,0.00037481434777410905
1TQ,866,0.00036843271869736483
3AQ,857,0.0003646037412513183
X4,840,0.0003573712282976749
LO,836,0.00035566946054387644
TP,832,0.000353967692790078
AZ,830,0.0003531168089131788
DE,819,0.00034843694759023304
VB,804,0.0003420553185134889
PFQ,798,0.00033950266688279117
N8,785,0.0003339719216829462
I4,764,0.0003250376409755043
MT,756,0.0003216341054679074
MP,756,0.0003216341054679074
FJ,735,0.00031269982476046554
8D,726,0.00030887084731441903
6R,721,0.000306743637622171
D8,705,0.00029993656660697715
OS,696,0.00029610758916093064
VI,684,0.0002910022858995353
Q5,681,0.0002897259600841865
WW,664,0.000282493447130543
PD,657,0.00027951535356139575
CH,654,0.0002782390277460469
LR,652,0.00027738814386914766
VIQ,648,0.00027568637611534924
3S,645,0.0002744100503000004
1WQ,645,0.0002744100503000004
SU,642,0.0002731337244846515
AI,635,0.00027015563091550425
SV,633,0.000269304747038605
NLQ,628,0.000267177537346357
AD,622,0.00026462488571565927
DI,609,0.00025909414051581434
BY,596,0.00025356339531596936
KX,588,0.00025015985980837246
AAT,555,0.00023612027583953522
1EQ,554,0.0002356948339010856
LP,527,0.00022420790156294605
KAT,513,0.00021825171442465147
AB,499,0.0002122955272863569
CK,496,0.00021101920147100804
RJ,495,0.00021059375953255842
PRQ,495,0.00021059375953255842
23Q,487,0.00020719022402496153
2TQ,484,0.00020591389820961268
S4,477,0.0002029358046404654
1DQ,465,0.00019783050137907004
UX,436,0.00018549268516403127
3SD,434,0.00018464180128713203
Z3Q,420,0.00017868561414883746
CC,395,0.00016804956568759714
3U,390,0.00016592235599534907
QT,384,0.0001633697043646514
7C,375,0.00015954072691860488
5C,373,0.00015868984304170564
0CQ,372,0.00015826440110325602
CAZ,363,0.00015443542365720951
ADB,356,0.00015145733008806221
DHQ,356,0.00015145733008806221
AY,346,0.00014720291070356608
PEQ,343,0.00014592658488821726
AR,342,0.00014550114294976764
PH,342,0.00014550114294976764
SA,339,0.0001442248171344188
P3,328,0.00013954495581147306
2JQ,322,0.00013699230418077538
ET,320,0.00013614142030387617
