unique_carrier_name,frequency,relative_frequency
Azul Linhas Aereas Brazileiras S A,622,0.00026462488571565927
Norwegian Air UK Limited,609,0.00025909414051581434
Britannia Airways Ltd.,596,0.00025356339531596936
Cayman Airways Limited,588,0.00025015985980837246
Air Sunshine Inc.,555,0.00023612027583953522
"KaiserAir, Inc.",554,0.0002356948339010856
Lan Peru Airlines,527,0.00022420790156294605
Katmai Air,513,0.00021825171442465147
Air Berlin PLC and CO,499,0.0002122955272863569
China Cargo Airline,496,0.00021101920147100804
Florida West Airlines Inc.,495,0.00021059375953255842
Alia-(The) Royal Jordanian,495,0.00021059375953255842
Songbird Airways Inc.,487,0.00020719022402496153
Trans Northern Airways d/b/a Air Unlimited Charter Services,484,0.00020591389820961268
Sata Internacional,477,0.0002029358046404654
Island Airlines LLC,465,0.00019783050137907004
Air Europa,436,0.00018549268516403127
Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane,434,0.00018464180128713203
"PM Air, LLC",420,0.00017868561414883746
Air Atlanta Icelandic,395,0.00016804956568759714
Sichuan Airlines Co Ltd.,390,0.00016592235599534907
Transportes Aereos Mercantiles Panamericanos S.A,384,0.0001633697043646514
Jeju Air Co Ltd.,375,0.00015954072691860488
C.A.L Cargo Airlines,373,0.00015868984304170564
ACM AIR CHARTER GmbH,372,0.00015826440110325602
CAT Aviation,363,0.00015443542365720951
DHL Aero Expresso,356,0.00015145733008806221
Antonov Company,356,0.00015145733008806221
Finnair Oy,346,0.00014720291070356608
SkyLink Express Inc.,343,0.00014592658488821726
Aerolineas Argentinas,342,0.00014550114294976764
Polynesian Airlines Ltd.,342,0.00014550114294976764
South African Airways,339,0.0001442248171344188
Cargologicair Limited,328,0.00013954495581147306
Delux Public Charter LLC,322,0.00013699230418077538
Ethiopian Airlines,320,0.00013614142030387617
"Global Jet Luxembourg, Sa",318,0.00013529053642697694
Virgin Blue International Airlines t/a V Australia,313,0.00013316332673472887
Surinam Airways Limited,313,0.00013316332673472887
Menagerie Enterprises Inc d/b/a Monarch Air,313,0.00013316332673472887
Fly Jamaica Airways Limited,297,0.00012635625571953506
"Xiamen Airlines Co., Ltd.",296,0.00012593081378108544
Eurowings GmbH,294,0.00012507992990418623
TUI Airlines Nederland B.V.,293,0.00012465448796573661
Edelweiss Air Ag,292,0.000124229046027287
Gainjet Aviation SA,285,0.00012125095245813971
Falcon Air Express,282,0.00011997462664279087
Jetstar Airways Pty Limited,280,0.00011912374276589164
Aerotransportes Mas De Crga,279,0.00011869830082744203
Oceanair Linhas Aereas S A,274,0.00011657109113519396
Vision Airlines,270,0.00011486932338139552
Gem Air LLC,267,0.00011359299756604667
Cargolux Italia SpA,265,0.00011274211368914745
TAG Aviation Espana S.L.,263,0.00011189122981224821
Island Air Hawaii,262,0.00011146578787379861
Flying Service N.V.,260,0.00011061490399689937
Centurion Cargo Inc.,258,0.00010976402012000015
Ward Air,256,0.00010891313624310093
VRG Linhas Aereas S A,247,0.00010508415879705442
Blue Jet SP Z o o,242,0.00010295694910480634
Air Tahiti Nui,238,0.00010125518135100789
TAG Aviation (UK) Ltd.,238,0.00010125518135100789
Ellis Air Taxi Inc.,238,0.00010125518135100789
Homer Air,238,0.00010125518135100789
New England Airlines Inc.,236,0.00010040429747410867
XL Airways France,228,9.700076196651176e-05
Key Lime Air Corporation,227,9.657532002806215e-05
Elysair d/b/a L'Avion,226,9.614987808961254e-05
Royal Air Maroc,224,9.529899421271332e-05
Lan Ecuador,214,9.104457482821718e-05
Jin Air Co Ltd.,214,9.104457482821718e-05
Brussels Airlines N.V.,206,8.764103932062028e-05
Unijet,203,8.636471350527144e-05
Tame Linea Aerea del Ecuador Tme EP,195,8.296117799767454e-05
"Prescott Support Company, Inc.",194,8.253573605922492e-05
Airitaly S.P.A.,186,7.913220055162801e-05
Talofa Airways Limited,183,7.785587473627918e-05
LAN Argentina,183,7.785587473627918e-05
DCA,182,7.743043279782957e-05
Dreamjet SAS Dba La Compagnie,181,7.700499085937995e-05
Hong Kong Airlines Limited,176,7.487778116713188e-05
Silk Way West Airlines,172,7.317601341333344e-05
TUI Airlines Belgium N.V. d/b/a Jetairfly,170,7.232512953643421e-05
"Gestair, S.A.",169,7.18996875979846e-05
Orange Air,168,7.147424565953498e-05
Cavok Air LLC,165,7.019791984418615e-05
Air Busan,165,7.019791984418615e-05
Makani Kai Air Charters,164,6.977247790573653e-05
Kuwait Airways Corp.,162,6.892159402883731e-05
Taca Peru,160,6.807071015193809e-05
FAI rent-a-jet AG,156,6.636894239813963e-05
Aerovias de Intergracian Regional,155,6.594350045969001e-05
"Avior Airlines, C.A.",152,6.466717464434118e-05
Albinati Aeronautics SA,152,6.466717464434118e-05
ABS JETS A.S,148,6.296540689054272e-05
Svenskt Industriflyg AB,146,6.21145230136435e-05
Jet2.com,139,5.9136429444496204e-05
Flair Airlines Ltd.,138,5.871098750604659e-05
"Reeve Air Alaska, LLC",136,5.786010362914737e-05
"Vuela Aviacion, S.A.",136,5.786010362914737e-05
Egyptair,136,5.786010362914737e-05
Dassault Falcon Service,131,5.5732893936899305e-05
Fast Colombia SAS d/b/a Viva Colombia,128,5.4456568121550463e-05
Longtail Aviation Ltd.,127,5.403112618310085e-05
Transportes Aereos De Cabo,126,5.360568424465124e-05
Insel Air International B V,125,5.318024230620162e-05
Acropolis Aviation Ltd.,122,5.190391649085279e-05
Uzbekistan Airways,120,5.105303261395356e-05
Estafeta Carga Aereas,120,5.105303261395356e-05
Azerbaijan Airlines CJSC,118,5.0202148737054335e-05
City Wings Inc dba Seaflight,118,5.0202148737054335e-05
Ukraine International Airlines,117,4.977670679860472e-05
Comlux Aruba NV,117,4.977670679860472e-05
Transportes Aeromar S.A de C.V,116,4.9351264860155105e-05
Bradley Air Services Ltd.,107,4.552228741410859e-05
"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",103,4.382051966031014e-05
Erickson Helicopters,95,4.0416984152713236e-05
Jet Aviation Business Jets AG,94,3.9991542214263625e-05
Air Serbia,92,3.9140658337364395e-05
TAG Aviation S.A.,91,3.871521639891478e-05
International Jet Management GmbH,90,3.828977446046517e-05
Air Japan Co,88,3.743889058356594e-05
JetClub AG,86,3.658800670666672e-05
"Comlux Malta, Ltd.",86,3.658800670666672e-05
French bee,80,3.403535507596904e-05
"Rectrix Aviation, Inc.",78,3.318447119906981e-05
Titan Airways,77,3.27590292606202e-05
Cebu Air Inc d/b/a Cebu Pacific Air,70,2.978093569147291e-05
"Santa Barbara Airlines, C.A",70,2.978093569147291e-05
Albinati aviation Limited,70,2.978093569147291e-05
Privatair,68,2.8930051814573685e-05
Pakistan International Airlines,68,2.8930051814573685e-05
Luxaviation Germany GmbH,68,2.8930051814573685e-05
Swiss Air Ambulance,66,2.8079167937674458e-05
Air Asia X Berhad dba Airasia X,64,2.7228284060775232e-05
"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",60,2.552651630697678e-05
Beijing Capital Airlines,60,2.552651630697678e-05
Vensecar International,60,2.552651630697678e-05
Friday Harbor Seaplanes,58,2.4675632430077552e-05
Air Hamburg Luftverkehrsgesellschaft mbH,57,2.425019049162794e-05
Grand Canyon Helicopters,57,2.425019049162794e-05
