tail_num,frequency,relative_frequency
N613AS,3974,0.00025028000626770665
N708PS,3974,0.00025028000626770665
N795SW,3974,0.00025028000626770665
N718SW,3974,0.00025028000626770665
N735SA,3974,0.00025028000626770665
N712SW,3973,0.00025021702690025124
N228PS,3973,0.00025021702690025124
N7846A,3973,0.00025021702690025124
N776WN,3973,0.00025021702690025124
N652RS,3973,0.00025021702690025124
N928SW,3972,0.0002501540475327959
N463WN,3972,0.0002501540475327959
N662EH,3972,0.0002501540475327959
N457WN,3971,0.0002500910681653405
N729SW,3971,0.0002500910681653405
N785SW,3971,0.0002500910681653405
N404WN,3969,0.0002499651094304297
N614AS,3968,0.0002499021300629743
N453QX,3966,0.00024977617132806355
N679AE,3966,0.00024977617132806355
N7821L,3966,0.00024977617132806355
N746SW,3965,0.00024971319196060815
N250WN,3965,0.00024971319196060815
N442WN,3965,0.00024971319196060815
N674RJ,3962,0.00024952425385824204
N448WN,3962,0.00024952425385824204
N611AS,3961,0.00024946127449078663
N912WN,3961,0.00024946127449078663
N765SW,3960,0.0002493982951233312
N787SA,3960,0.0002493982951233312
N566WN,3960,0.0002493982951233312
N440SW,3958,0.00024927233638842046
N249PS,3958,0.00024927233638842046
N7885A,3957,0.00024920935702096506
N7886A,3957,0.00024920935702096506
N7856A,3956,0.0002491463776535097
N7884G,3955,0.0002490833982860543
N7828A,3955,0.0002490833982860543
N284WN,3954,0.0002490204189185989
N937EV,3954,0.0002490204189185989
N716SW,3954,0.0002490204189185989
N913SW,3954,0.0002490204189185989
N7883A,3953,0.00024895743955114354
N7852A,3953,0.00024895743955114354
N7740A,3952,0.00024889446018368813
N809CA,3950,0.00024876850144877737
N434WN,3950,0.00024876850144877737
N298WN,3950,0.00024876850144877737
N511AE,3950,0.00024876850144877737
N226JS,3949,0.00024870552208132197
N439WN,3949,0.00024870552208132197
N700GS,3948,0.0002486425427138666
N681AE,3948,0.0002486425427138666
N438WN,3948,0.0002486425427138666
N944SW,3947,0.0002485795633464112
N714CB,3946,0.0002485165839789558
N709PS,3945,0.00024845360461150045
N749SW,3943,0.0002483276458765897
N432QX,3943,0.0002483276458765897
N8965E,3943,0.0002483276458765897
N7863A,3942,0.0002482646665091343
N405WN,3941,0.0002482016871416789
N916EV,3941,0.0002482016871416789
N766SW,3940,0.0002481387077742235
N658AE,3939,0.0002480757284067681
N761RR,3938,0.0002480127490393127
N957SW,3937,0.00024794976967185736
N676AE,3937,0.00024794976967185736
N631AE,3937,0.00024794976967185736
N937SW,3936,0.00024788679030440195
N213PS,3935,0.00024782381093694654
N416WN,3935,0.00024782381093694654
N733SA,3933,0.0002476978522020358
N701BR,3932,0.00024763487283458043
N427SW,3932,0.00024763487283458043
N726SW,3931,0.000247571893467125
N750SA,3930,0.0002475089140996696
N7866A,3930,0.0002475089140996696
N716PS,3929,0.00024744593473221427
N889AS,3929,0.00024744593473221427
N902BC,3929,0.00024744593473221427
N209PS,3928,0.00024738295536475886
N615AS,3927,0.00024731997599730345
N417WN,3927,0.00024731997599730345
N796SW,3926,0.0002472569966298481
N441WN,3926,0.0002472569966298481
N657AE,3925,0.0002471940172623927
N277WN,3922,0.0002470050791600265
N715SW,3921,0.0002469420997925712
N570WN,3921,0.0002469420997925712
N701SK,3920,0.00024687912042511577
N253WN,3919,0.00024681614105766036
N520DC,3919,0.00024681614105766036
N402QX,3919,0.00024681614105766036
N778SW,3919,0.00024681614105766036
N290WN,3917,0.0002466901823227496
N454WN,3917,0.0002466901823227496
N7850B,3917,0.0002466901823227496
N446SW,3917,0.0002466901823227496
N906EV,3916,0.00024662720295529425
N799SW,3916,0.00024662720295529425
N433LV,3914,0.00024650124422038344
N675AE,3914,0.00024650124422038344
N283WN,3912,0.0002463752854854727
N418WN,3912,0.0002463752854854727
N428WN,3911,0.00024631230611801727
N703SW,3911,0.00024631230611801727
N202PS,3910,0.0002462493267505619
N244PS,3909,0.0002461863473831065
N916SW,3909,0.0002461863473831065
N7848A,3907,0.00024606038864819575
N947SW,3907,0.00024606038864819575
N551WN,3907,0.00024606038864819575
N932AE,3906,0.00024599740928074034
N730SW,3905,0.000245934429913285
N261PS,3905,0.000245934429913285
N271LV,3905,0.000245934429913285
N281WN,3904,0.0002458714505458296
N406WN,3903,0.0002458084711783742
N282WN,3903,0.0002458084711783742
N408WN,3902,0.0002457454918109188
N568WN,3902,0.0002457454918109188
N7887A,3901,0.0002456825124434634
N777QC,3901,0.0002456825124434634
N901EV,3901,0.0002456825124434634
N938SW,3901,0.0002456825124434634
N648AE,3900,0.000245619533076008
N781WN,3899,0.00024555655370855266
N636AE,3898,0.00024549357434109725
N685AE,3897,0.0002454305949736419
N906SW,3896,0.0002453676156061865
N932EV,3896,0.0002453676156061865
N670AE,3895,0.0002453046362387311
N187JB,3895,0.0002453046362387311
N215WN,3893,0.00024517867750382033
N230PS,3893,0.00024517867750382033
N757LV,3893,0.00024517867750382033
N978SW,3892,0.0002451156981363649
N952SW,3892,0.0002451156981363649
N748SK,3891,0.00024505271876890957
N755SA,3889,0.00024492676003399876
N262PS,3888,0.0002448637806665434
N410WN,3888,0.0002448637806665434
N468CA,3887,0.000244800801299088
N762SW,3884,0.00024461186319672183
N259SY,3884,0.00024461186319672183
N963SW,3883,0.0002445488838292665
N436WN,3883,0.0002445488838292665
N909SW,3883,0.0002445488838292665
N507AE,3882,0.00024448590446181107
N942LL,3881,0.00024442292509435566
N850AE,3881,0.00024442292509435566
N719SW,3878,0.00024423398699198955
N417QX,3877,0.00024417100762453415
N930SW,3877,0.00024417100762453415
N710SW,3877,0.00024417100762453415
N933EV,3875,0.00024404504888962336
N783SW,3875,0.00024404504888962336
N494CA,3875,0.00024404504888962336
N921EV,3874,0.00024398206952216798
N646AE,3873,0.0002439190901547126
N768SW,3872,0.00024385611078725722
N731SA,3869,0.00024366717268489105
N929EV,3869,0.00024366717268489105
N7880D,3868,0.00024360419331743565
N750SK,3867,0.00024354121394998027
