origin,frequency,relative_frequency
XNA,29713,0.001865517374525859
LIT,29369,0.0018439194888584104
LIH,28262,0.0017744169905041505
FAT,24766,0.0015549221989535698
LEX,24577,0.001543055918746745
PNS,24320,0.0015269202890475174
HPN,24161,0.0015169375453814586
MYR,23967,0.0015047573424178393
BTV,23700,0.0014879938672050232
ICT,23456,0.001472674436673461
PSP,23103,0.0014505114900437827
MHT,22761,0.001429039173479052
COS,21912,0.0013757350893753785
MDT,21832,0.0013707123252666696
CAE,21697,0.0013622364108332233
HSV,21520,0.0013511235452427046
SGF,20958,0.0013158386273790243
CID,20716,0.00130064476595018
SFB,20325,0.0012760960063688649
CHA,19546,0.0012271868408603116
MAF,18864,0.001184367776833568
AVL,18666,0.0011719364356645133
MFR,17544,0.0011014921690398703
EUG,17393,0.0010920117017846822
CHO,17290,0.0010855448929947195
ILM,17258,0.001083535787351236
RDM,16962,0.0010649515601490129
FSD,16739,0.0010509506051959868
VPS,16647,0.0010451744264709714
JAN,16637,0.0010445465809573828
CAK,16468,0.0010339359917777352
BZN,15931,0.0010002206876980264
BTR,15242,0.0009569621318117707
PIE,15205,0.0009546391034114928
SBA,15190,0.0009536973351411098
FWA,15137,0.0009503697539190902
SRQ,14873,0.0009337946323603507
SBN,14733,0.00092500479517011
ROA,14728,0.0009246908724133157
FAR,14659,0.0009203587383695542
LBB,14439,0.0009065461370706047
SHV,13768,0.0008644177031088084
ISP,13548,0.0008506051018098589
PSC,13416,0.0008423175410304892
ASE,13378,0.0008399317280788523
MOB,13318,0.0008361646549973206
ATW,13203,0.0008289444315910516
MLI,13166,0.0008266214031907737
TLH,12679,0.0007960453266790081
GRB,12421,0.0007798469124284217
ITO,12346,0.0007751380710765071
PIA,12219,0.0007671644330539317
ECP,12127,0.0007613882543289163
ABE,12027,0.0007551097991930301
RAP,11929,0.0007489569131598617
AMA,11897,0.0007469478075163782
MSO,11604,0.0007285519339682317
AVP,11432,0.0007177529911345075
CRP,11426,0.0007173762838263543
BGR,11393,0.0007153043936315118
CRW,11180,0.0007019312841920743
EVV,11039,0.0006930786624504748
AZA,10963,0.0006883070365472012
TVC,10674,0.0006701623012044902
SBP,10641,0.0006680904110096477
PGD,10574,0.000663883846068604
BIL,10530,0.0006611213258088141
EYW,10433,0.0006550312243270045
BIS,10348,0.0006496945374615013
AGS,10323,0.0006481249236775298
MFE,10184,0.000639397871038648
LFT,9764,0.0006130283594679261
GNV,9680,0.0006077544571537817
FAI,9664,0.0006067499043320399
FNT,9505,0.0005967671606659808
GJT,9405,0.0005904887055300946
SCE,9384,0.0005891702299515585
FCA,9135,0.000573536876663202
JAC,9121,0.000572657892944178
MGM,9059,0.0005687652507599285
FAY,8917,0.0005598498444669702
JNU,8913,0.0005595987062615347
MRY,8909,0.0005593475680560992
GPT,8783,0.0005514367145848827
RST,8421,0.0005287087069929747
LAN,8403,0.0005275785850685152
TRI,8378,0.0005260089712845437
DRO,8228,0.0005165912885807144
