origin,frequency,relative_frequency
AKN,3402,0.0014473534746055833
LIT,3400,0.0014465025907286842
EMK,3393,0.001443524497159537
PWM,3366,0.0014320375648213973
GUM,3364,0.0014311866809444981
GPT,3364,0.0014311866809444981
LEX,3338,0.0014201251905448082
AMS,3325,0.0014145944453449633
ADQ,3260,0.0013869407193457383
FSD,3123,0.0013286551737781414
XNA,3064,0.0013035540994096142
MBJ,3009,0.0012801547927948854
RFD,3004,0.0012780275831026375
CAE,2961,0.001259733579749304
MHT,2927,0.0012452685538420173
COS,2861,0.0012171893859043428
KOA,2797,0.0011899611018435674
AFW,2793,0.0011882593340897692
BOG,2782,0.0011835794727668234
FAR,2744,0.001167412679105738
BZN,2731,0.0011618819339058932
HSV,2724,0.001158903840336746
PVG,2682,0.001141035278921862
BTV,2680,0.001140184395044963
SHV,2659,0.0011312501143375209
KOT,2652,0.0011282720207683736
WFB,2640,0.0011231667175069784
BFI,2601,0.0011065744819074433
BIL,2561,0.0010895568043694588
SAL,2554,0.0010865787108003116
BRW,2536,0.0010789207559082185
HKG,2504,0.001065306613877831
AUK,2496,0.001061903078370234
WTL,2438,0.0010372274459401565
GAL,2424,0.001031271258801862
FAT,2397,0.0010197843264637223
OOK,2366,0.0010065956263717844
PNS,2351,0.0010002139972950402
ABE,2331,0.0009917051585260478
PGD,2289,0.0009738365971111642
PTY,2275,0.0009678804099728695
MOU,2267,0.0009644768744652727
KWN,2219,0.0009440556614196912
ILI,2212,0.000941077567850544
ACY,2200,0.0009359722645891486
SBN,2196,0.0009342704968353502
LBB,2191,0.0009321432871431021
LCK,2162,0.0009198054709280632
SGF,2143,0.0009117220740975207
SRQ,2142,0.000911296632159071
CAK,2101,0.0008938535126826369
KPN,2100,0.0008934280707441872
SCC,2094,0.0008908754191134896
SMK,2044,0.0008696033221910089
MTY,2011,0.0008555637382221717
CYF,2006,0.0008534365285299237
WBB,1998,0.0008500329930223267
KKH,1991,0.0008470548994531794
EUG,1989,0.0008462040155762802
STT,1987,0.0008453531316993811
FWA,1959,0.0008334407574227919
PQS,1942,0.0008262082444691484
SJO,1937,0.0008240810347769004
NME,1925,0.0008189757315155051
SDQ,1925,0.0008189757315155051
BRO,1918,0.0008159976379463577
RSH,1900,0.0008083396830542647
GRB,1895,0.0008062124733620166
EEK,1889,0.0008036598217313189
CHA,1878,0.0007989799604083732
SXP,1859,0.0007908965635778306
KKI,1857,0.0007900456797009314
KWT,1857,0.0007900456797009314
TNK,1848,0.0007862167022548848
YEG,1841,0.0007832386086857376
KWK,1814,0.0007717516763475979
AEX,1813,0.0007713262344091484
HPB,1812,0.0007709007924706988
KUK,1812,0.0007709007924706988
SIT,1808,0.0007691990247169003
BGR,1799,0.0007653700472708538
AUA,1794,0.0007632428375786057
SBA,1784,0.0007589884181941096
MLL,1775,0.0007551594407480631
YOW,1771,0.0007534576729942646
ELI,1760,0.0007487778116713189
KKA,1753,0.0007457997181021716
JAN,1751,0.0007449488342252724
LGB,1749,0.0007440979503483731
MAD,1748,0.0007436725084099236
SKK,1726,0.0007343127857640321
YWG,1724,0.0007334619018871328
KEF,1723,0.0007330364599486832
MLI,1721,0.0007321855760717839
WWT,1721,0.0007321855760717839
ROA,1716,0.0007300583663795359
GUA,1716,0.0007300583663795359
KTN,1708,0.000726654830871939
GCM,1707,0.0007262293889334894
LIM,1706,0.0007258039469950398
PIA,1705,0.0007253785050565901
NUP,1701,0.0007236767373027917
WLK,1692,0.0007198477598567451
ATW,1677,0.000713466130780001
AVL,1675,0.0007126152469031018
AKI,1668,0.0007096371533339545
ORV,1667,0.0007092117113955049
ATT,1659,0.000705808175887908
MAF,1645,0.0006998519887496134
TLT,1627,0.0006921940338575203
GLV,1615,0.000687088730596125
PEK,1614,0.0006866632886576754
TLH,1608,0.0006841106370269778
SAP,1604,0.0006824088692731793
KLG,1596,0.0006790053337655823
SCM,1592,0.0006773035660117839
MFR,1587,0.0006751763563195358
MFE,1578,0.0006713473788734893
LIH,1573,0.0006692201691812413
VAK,1570,0.0006679438433658924
BKC,1550,0.0006594350045969001
IAN,1545,0.0006573077949046521
HCR,1538,0.0006543297013355048
MSO,1535,0.000653053375520156
ABL,1534,0.0006526279335817063
VPS,1529,0.0006505007238894583
BIS,1503,0.0006394392334897683
SHG,1493,0.0006351848141052722
RAP,1489,0.0006334830463514738
SHH,1487,0.0006326321624745745
PSC,1450,0.0006168908107519388
LAN,1448,0.0006160399268750396
MUC,1446,0.0006151890429981403
WMO,1433,0.0006096582977982955
BQN,1433,0.0006096582977982955
GTF,1424,0.0006058293203522489
RDB,1401,0.0005960441557679078
PLS,1394,0.0005930660621987605
PTK,1387,0.0005900879686296132
BLI,1384,0.0005888116428142643
ACK,1382,0.0005879607589373652
KVL,1381,0.0005875353169989155
SPN,1380,0.000587109875060466
ILM,1377,0.0005858335492451171
LIR,1376,0.0005854081073066675
WTK,1375,0.0005849826653682178
BTR,1374,0.0005845572234297683
ISP,1362,0.000579451920168373
PHO,1360,0.0005786010362914737
WNA,1359,0.000578175594353024
KTS,1355,0.0005764738265992256
