crs_dep_time,frequency,relative_frequency
1056,7774,0.0004880871022637912
2300,7768,0.000487710394955638
1819,7767,0.00048764761040427917
1222,7754,0.00048683141123661395
929,7744,0.00048620356572302533
1351,7736,0.0004857012893121544
1402,7726,0.0004850734437985658
1631,7707,0.00048388053732274745
1516,7680,0.0004821853544360582
1426,7677,0.0004819970007819816
1621,7676,0.0004819342162306227
1346,7657,0.00048074130975480435
1958,7620,0.00047841828135452647
1747,7607,0.00047760208218686125
1808,7605,0.00047747651308414354
1201,7584,0.00047615803750560747
1052,7580,0.000475906899300172
1206,7578,0.0004757813301974543
1202,7575,0.0004755929765433777
1806,7574,0.00047553019199201885
1224,7559,0.0004745884237216359
919,7548,0.0004738977936566884
1248,7525,0.0004724537489754346
1626,7500,0.0004708841351914631
1709,7497,0.0004706957815373865
951,7490,0.00047025628967787447
1524,7487,0.00047006793602379787
1352,7484,0.00046987958236972127
2315,7479,0.00046956565961292696
1639,7460,0.0004683727531371086
1221,7456,0.0004681216149316731
1541,7443,0.00046730541576400796
1307,7433,0.00046667757025041934
1457,7425,0.00046617529383954844
1716,7417,0.00046567301742867753
1512,7413,0.0004654218792232421
1736,7390,0.00046397783454198827
1517,7377,0.00046316163537432305
1731,7374,0.00046297328172024646
1212,7368,0.0004625965744120933
1509,7365,0.0004624082207580167
1734,7350,0.0004614664524876338
1816,7339,0.00046077582242268634
1543,7331,0.00046027354601181543
1814,7331,0.00046027354601181543
1114,7310,0.0004589550704332793
1622,7310,0.0004589550704332793
1003,7298,0.000458201655816973
1148,7297,0.00045813887126561415
1714,7287,0.00045751102575202553
1241,7271,0.0004565064729302837
1117,7271,0.0004565064729302837
1031,7268,0.0004563181192762071
1418,7247,0.00045499964369767105
1454,7227,0.0004537439526704938
1432,7226,0.00045368116811913493
1824,7223,0.00045349281446505833
1748,7214,0.0004529277535028286
1431,7210,0.00045267661529739317
1002,7204,0.00045229990798924
1327,7197,0.00045186041612972795
1548,7194,0.00045167206247565136
1144,7192,0.00045154649337293364
1231,7175,0.000450479155999833
2024,7158,0.00044941181862673236
1319,7152,0.00044903511131857916
1436,7151,0.00044897232676722033
1549,7142,0.00044840726580499054
1312,7141,0.0004483444812536317
