fl_date,frequency,relative_frequency
2019-08-06,23880,0.0014992950864496184
2019-06-19,23879,0.0014992323018982595
2018-07-19,23870,0.0014986672409360298
2018-07-26,23862,0.001498164964525159
2018-06-29,23861,0.0014981021799738
2019-08-29,23858,0.0014979138263197234
2019-08-30,23855,0.0014977254726656467
2019-06-12,23837,0.0014965953507411873
2018-08-02,23835,0.0014964697816384695
2019-12-02,23826,0.0014959047206762398
2018-08-06,23826,0.0014959047206762398
2018-06-22,23807,0.0014947118142004214
2018-06-28,23780,0.0014930166313137322
2018-06-25,23763,0.0014919492939406316
2018-06-15,23763,0.0014919492939406316
2018-06-18,23753,0.001491321448427043
2018-06-21,23749,0.0014910703102216075
2019-06-25,23720,0.0014892495582322005
2018-06-11,23714,0.0014888728509240474
2018-06-08,23697,0.0014878055135509466
2019-08-14,23688,0.0014872404525887169
2018-08-10,23683,0.0014869265298319227
2019-05-24,23675,0.0014864242534210518
2019-05-31,23673,0.001486298684318334
2018-06-14,23670,0.0014861103306642574
2019-08-04,23670,0.0014861103306642574
2019-10-17,23656,0.0014852313469452334
2019-10-10,23652,0.001484980208739798
2018-07-18,23645,0.001484540716880286
2019-10-14,23639,0.0014841640095721326
2019-11-27,23637,0.0014840384404694149
2019-06-18,23636,0.0014839756559180562
2019-06-03,23636,0.0014839756559180562
2018-07-11,23634,0.0014838500868153384
2019-05-30,23632,0.0014837245177126207
2019-10-24,23632,0.0014837245177126207
2018-07-25,23628,0.0014834733795071851
2019-05-23,23626,0.0014833478104044676
2019-08-13,23624,0.0014832222413017498
2019-07-28,23624,0.0014832222413017498
2019-10-11,23620,0.0014829711030963143
2019-07-21,23620,0.0014829711030963143
2019-10-18,23620,0.0014829711030963143
2019-10-21,23616,0.001482719964890879
2019-05-17,23614,0.0014825943957881612
2019-10-04,23612,0.0014824688266854434
2019-07-07,23611,0.0014824060421340845
2018-08-09,23609,0.0014822804730313668
2019-10-07,23606,0.0014820921193772903
2019-07-14,23603,0.0014819037657232137
2019-11-22,23598,0.0014815898429664193
2019-05-20,23598,0.0014815898429664193
2019-10-25,23583,0.0014806480746960365
2019-10-03,23567,0.0014796435218742948
2018-08-01,23566,0.0014795807373229359
2019-06-11,23565,0.001479517952771577
2019-05-16,23555,0.0014788901072579884
2018-06-27,23551,0.0014786389690525528
2018-08-13,23531,0.0014773832780253756
2018-06-20,23527,0.0014771321398199403
2019-05-10,23525,0.0014770065707172225
2019-08-11,23519,0.0014766298634090692
2019-05-13,23519,0.0014766298634090692
2018-07-10,23514,0.001476315940652275
2018-07-17,23502,0.0014755625260359686
2018-08-17,23500,0.0014754369569332508
2018-07-24,23500,0.0014754369569332508
2019-11-15,23479,0.0014741184813547147
2019-11-21,23474,0.0014738045585979205
2019-11-18,23474,0.0014738045585979205
2019-11-07,23469,0.001473490635841126
2019-11-08,23469,0.001473490635841126
2019-05-06,23466,0.0014733022821870497
2018-07-31,23464,0.001473176713084332
2019-11-14,23462,0.0014730511439816141
2018-08-16,23461,0.0014729883594302553
2018-11-26,23460,0.0014729255748788964
2018-06-07,23458,0.0014728000057761788
2019-11-11,23443,0.0014718582375057958
2019-05-09,23442,0.001471795452954437
2019-06-23,23435,0.001471355961094925
2018-06-13,23427,0.001470853684684054
2019-09-26,23410,0.0014697863473109533
2019-05-03,23400,0.0014691585017973647
2019-09-12,23391,0.001468593440835135
2018-08-20,23385,0.0014682167335269818
2019-06-09,23384,0.001468153948975623
2019-09-27,23381,0.0014679655953215463
2019-09-13,23374,0.0014675261034620343
2019-09-19,23373,0.0014674633189106754
2019-09-30,23370,0.0014672749652565988
2018-06-26,23364,0.0014668982579484457
2019-03-15,23361,0.001466709904294369
2019-06-16,23360,0.0014666471197430102
2018-06-19,23356,0.0014663959815375749
2019-09-16,23356,0.0014663959815375749
2019-04-05,23353,0.0014662076278834982
2019-09-20,23345,0.0014657053514726274
2019-09-09,23344,0.0014656425669212685
2019-09-23,23331,0.0014648263677536032
2019-08-18,23328,0.0014646380140995268
2019-08-21,23316,0.0014638845994832204
2019-04-12,23309,0.0014634451076237084
2019-03-14,23305,0.0014631939694182729
2019-04-19,23303,0.001463068400315555
2019-11-04,23299,0.0014628172621101198
2019-04-15,23292,0.0014623777702506076
2019-04-04,23290,0.00146225220114789
2019-04-26,23289,0.0014621894165965312
2019-12-20,23287,0.0014620638474938134
2019-04-18,23283,0.0014618127092883779
2019-04-22,23280,0.0014616243556343014
2018-06-12,23271,0.0014610592946720715
2019-04-08,23266,0.0014607453719152773
2019-04-11,23265,0.0014606825873639184
2019-03-22,23258,0.0014602430955044064
2018-08-08,23254,0.0014599919572989709
2019-04-25,23251,0.0014598036036448942
2019-03-29,23250,0.0014597408190935356
2019-03-11,23249,0.0014596780345421767
2019-03-08,23248,0.0014596152499908178
2019-04-29,23239,0.001459050189028588
2019-03-18,23238,0.0014589874044772292
2018-08-24,23229,0.0014584223435149994
2018-11-16,23218,0.001457731713450052
2019-05-02,23215,0.0014575433597959753
2019-03-21,23215,0.0014575433597959753
2019-12-19,23214,0.0014574805752446164
2019-03-28,23209,0.0014571666524878222
2019-03-25,23204,0.0014568527297310278
2019-06-05,23203,0.001456789945179669
2018-08-23,23201,0.0014566643760769514
2019-04-01,23192,0.0014560993151147214
2019-08-28,23190,0.0014559737460120039
2018-11-21,23179,0.0014552831159470564
2019-05-22,23148,0.0014533367948549316
2018-07-15,23140,0.0014528345184440608
2019-05-29,23124,0.0014518299656223188
2018-07-08,23123,0.00145176718107096
2018-07-22,23114,0.0014512021201087302
2018-07-29,23105,0.0014506370591465005
2018-08-07,23102,0.001450448705492424
2018-08-15,23091,0.0014497580754274765
2019-11-30,23084,0.0014493185835679644
2019-03-07,23082,0.0014491930144652468
2019-12-13,23074,0.0014486907380543757
2018-10-12,23071,0.0014485023844002993
2018-10-19,23069,0.0014483768152975815
2019-12-06,23066,0.0014481884616435049
2018-08-05,23060,0.0014478117543353518
2018-10-05,23052,0.001447309477924481
2018-10-26,23049,0.0014471211242704043
2018-10-18,23039,0.0014464932787568157
2019-08-25,23029,0.001445865433243227
2019-12-12,23027,0.0014457398641405093
2018-10-25,23027,0.0014457398641405093
2019-08-20,23026,0.0014456770795891504
2018-10-11,23023,0.001445488725935074
2019-05-15,23020,0.0014453003722809973
2018-10-15,23020,0.0014453003722809973
2018-10-22,23016,0.0014450492340755618
2019-12-05,23011,0.0014447353113187676
2018-08-30,23004,0.0014442958194592554
2018-08-14,22989,0.0014433540511888726
2019-12-23,22987,0.0014432284820861548
2018-08-31,22985,0.001443102912983437
2019-12-27,22979,0.001442726205675284
2018-08-27,22973,0.0014423494983671309
2018-06-24,22972,0.001442286713815772
2018-11-15,22967,0.0014419727910589776
2018-05-25,22962,0.0014416588683021834
2018-12-21,22962,0.0014416588683021834
2018-10-04,22953,0.0014410938073399536
2018-06-17,22949,0.001440842669134518
2018-10-08,22937,0.0014400892545182117
2019-08-27,22922,0.0014391474862478289
2019-12-26,22920,0.0014390219171451111
2019-12-30,22917,0.0014388335634910345
2019-12-22,22907,0.0014382057179774459
2019-10-13,22905,0.001438080148874728
2018-05-24,22900,0.0014377662261179339
2018-06-10,22898,0.0014376406570152161
2019-05-28,22897,0.0014375778724638572
2018-12-20,22895,0.0014374523033611395
2019-05-08,22891,0.0014372011651557041
2018-06-04,22886,0.0014368872423989097
2019-10-16,22883,0.0014366988887448333
2019-11-26,22882,0.0014366361041934744
2019-10-20,22880,0.0014365105350907566
2019-06-04,22879,0.0014364477505393978
2018-09-21,22871,0.001435945474128527
2018-06-01,22869,0.0014358199050258091
2018-09-14,22868,0.0014357571204744503
2018-09-28,22868,0.0014357571204744503
2019-10-09,22858,0.0014351292749608616
2018-11-12,22856,0.0014350037058581439
2019-10-06,22853,0.0014348153522040674
2019-12-29,22846,0.0014343758603445552
2019-03-13,22839,0.0014339363684850433
2019-10-23,22830,0.0014333713075228135
2018-05-31,22829,0.0014333085229714547
2018-05-18,22825,0.0014330573847660193
2019-03-20,22824,0.0014329946002146605
2018-09-13,22824,0.0014329946002146605
2018-09-20,22819,0.001432680677457866
2018-05-21,22818,0.0014326178929065072
2018-11-09,22812,0.001432241185598354
2018-09-27,22809,0.0014320528319442774
2018-09-17,22809,0.0014320528319442774
2019-12-16,22807,0.0014319272628415597
2019-11-20,22805,0.001431801693738842
2018-09-24,22803,0.0014316761246361243
2018-10-01,22797,0.001431299417327971
2019-03-27,22796,0.0014312366327766122
2019-03-04,22790,0.001430859925468459
2019-12-09,22780,0.0014302320799548704
2018-05-11,22777,0.0014300437263007938
2018-11-08,22773,0.0014297925880953585
2018-08-12,22769,0.001429541449889923
2018-05-17,22763,0.0014291647425817699
2019-05-21,22760,0.0014289763889276932
2018-05-14,22756,0.0014287252507222579
2019-04-03,22739,0.001427657913349157
2019-10-15,22730,0.0014270928523869273
2018-05-07,22725,0.0014267789296301331
2018-05-10,22718,0.001426339437770621
2019-10-22,22700,0.0014252093158461615
2019-11-17,22698,0.0014250837467434437
2018-09-10,22697,0.0014250209621920848
2019-10-02,22696,0.0014249581776407262
2019-04-17,22692,0.0014247070394352906
2019-04-10,22679,0.0014238908402676254
2018-04-20,22677,0.0014237652711649076
2018-12-28,22676,0.001423702486613549
2018-04-13,22673,0.0014235141329594723
2019-10-08,22669,0.0014232629947540367
2019-05-14,22666,0.0014230746410999603
2019-06-02,22661,0.001422760718343166
2018-12-27,22661,0.001422760718343166
2018-05-04,22659,0.0014226351492404481
2019-11-10,22658,0.0014225723646890892
2018-04-27,22655,0.0014223840110350128
2018-08-22,22636,0.0014211911045591945
2019-04-24,22635,0.0014211283200078356
2018-04-23,22634,0.0014210655354564767
2018-04-16,22628,0.0014206888281483234
2018-04-19,22627,0.0014206260435969647
2019-11-13,22627,0.0014206260435969647
2018-04-12,22618,0.0014200609826347348
2019-05-01,22616,0.0014199354135320172
2019-05-07,22609,0.001419495921672505
2019-10-28,22604,0.0014191819989157108
2018-05-03,22598,0.0014188052916075575
2018-04-30,22596,0.00141867972250484
2019-05-19,22593,0.0014184913688507633
2019-11-19,22593,0.0014184913688507633
2019-09-08,22590,0.0014183030151966867
2019-09-29,22587,0.0014181146615426102
2018-08-19,22584,0.0014179263078885336
2018-04-26,22582,0.0014178007387858158
2019-09-22,22580,0.001417675169683098
2019-09-15,22578,0.0014175496005803803
2019-03-19,22564,0.0014166706168613563
2019-03-12,22558,0.0014162939095532033
2018-04-09,22556,0.0014161683404504855
2019-09-06,22548,0.0014156660640396146
2019-03-26,22534,0.0014147870803205905
2018-12-26,22518,0.0014137825274988488
2019-09-05,22517,0.00141371974294749
2018-03-16,22516,0.001413656958396131
2018-06-06,22516,0.001413656958396131
2018-03-23,22515,0.0014135941738447721
2018-03-22,22509,0.0014132174665366188
2019-06-30,22506,0.0014130291128825424
2018-03-15,22501,0.001412715190125748
2018-05-30,22496,0.0014124012673689538
2019-03-01,22484,0.0014116478527526474
2019-02-15,22471,0.0014108316535849821
2019-09-02,22468,0.0014106432999309057
2019-09-11,22465,0.001410454946276829
2019-11-03,22462,0.0014102665926227524
2019-05-05,22462,0.0014102665926227524
2019-03-17,22456,0.0014098898853145993
2019-09-18,22453,0.0014097015316605226
2018-03-29,22448,0.0014093876089037284
2019-07-01,22446,0.0014092620398010107
2018-04-06,22443,0.001409073686146934
2018-03-30,22441,0.0014089481170442163
2018-03-26,22441,0.0014089481170442163
2019-02-28,22437,0.001408696978838781
2019-02-22,22433,0.0014084458406333454
2019-09-25,22432,0.0014083830560819865
2018-03-19,22431,0.0014083202715306276
2018-03-12,22428,0.0014081319178765512
2018-11-05,22427,0.0014080691333251923
2019-05-27,22425,0.0014079435642224746
2018-04-05,22418,0.0014075040723629626
2019-04-02,22413,0.0014071901496061682
2019-11-12,22411,0.0014070645805034504
2018-08-29,22408,0.001406876226849374
2018-03-09,22403,0.0014065623040925795
2019-02-25,22389,0.0014056833203735556
2019-04-09,22389,0.0014056833203735556
2019-03-10,22382,0.0014052438285140434
2019-02-21,22375,0.0014048043366545315
2018-05-23,22370,0.0014044904138977373
2018-08-21,22369,0.0014044276293463784
2019-03-24,22362,0.0014039881374868662
2018-04-02,22360,0.0014038625683841486
2019-04-16,22357,0.001403674214730072
2019-04-23,22355,0.0014035486456273542
2019-12-18,22354,0.0014034858610759953
2019-03-06,22344,0.0014028580155624067
2019-04-30,22325,0.0014016651090865884
2019-03-31,22320,0.0014013511863297942
2018-11-20,22313,0.001400911694470282
2019-01-02,22311,0.0014007861253675642
2018-12-14,22305,0.0014004094180594111
2019-02-14,22300,0.001400095495302617
2019-04-14,22297,0.0013999071416485403
2019-04-07,22297,0.0013999071416485403
2018-12-23,22296,0.0013998443570971814
2018-05-16,22281,0.0013989025888267986
2019-10-01,22281,0.0013989025888267986
2018-10-17,22276,0.0013985886660700041
2018-11-30,22272,0.0013983375278645686
2018-12-07,22269,0.0013981491742104922
2018-12-19,22269,0.0013981491742104922
2018-12-30,22263,0.0013977724669023389
2018-10-24,22263,0.0013977724669023389
2019-04-28,22261,0.0013976468977996213
2018-05-29,22258,0.0013974585441455447
2018-06-05,22248,0.001396830698631956
2018-11-24,22240,0.0013963284222210852
2019-11-06,22239,0.0013962656376697263
2019-09-10,22230,0.0013957005767074966
2018-12-13,22226,0.001395449438502061
2019-12-03,22219,0.001395009946642549
2019-09-17,22218,0.0013949471620911902
2019-09-24,22202,0.0013939426092694483
2018-12-06,22195,0.0013935031174099363
2019-10-27,22193,0.0013933775483072185
2018-11-29,22190,0.001393189194653142
2018-07-06,22179,0.0013924985645881946
2018-03-21,22178,0.0013924357800368357
2018-05-09,22177,0.0013923729954854768
2019-11-25,22174,0.0013921846418314002
2018-03-14,22172,0.0013920590727286826
2018-03-08,22169,0.001391870719074606
2018-03-28,22162,0.001391431227215094
2019-02-18,22158,0.0013911800890096585
2018-10-03,22147,0.001390489458944711
2018-11-14,22145,0.0013903638898419932
2018-10-10,22138,0.0013899243979824812
2018-04-11,22127,0.0013892337679175337
2018-10-16,22102,0.0013876641541335623
2018-11-02,22096,0.001387287446825409
2018-10-23,22095,0.00138722466227405
2018-05-22,22088,0.0013867851704145381
2018-08-28,22087,0.0013867223858631793
2018-09-07,22079,0.0013862201094523084
2019-11-24,22072,0.0013857806175927964
2018-04-18,22064,0.0013852783411819254
2019-11-01,22052,0.0013845249265656192
2018-09-19,22029,0.0013830808818843653
2018-04-04,22028,0.0013830180973330064
2018-09-26,22024,0.0013827669591275709
2018-06-03,22008,0.0013817624063058292
2018-08-26,21999,0.0013811973453435994
2019-12-04,21999,0.0013811973453435994
2019-05-12,21999,0.0013811973453435994
2019-12-11,21995,0.001380946207138164
2018-09-06,21993,0.0013808206380354464
2018-05-02,21992,0.0013807578534840875
2018-09-12,21990,0.0013806322843813697
2018-03-02,21984,0.0013802555770732166
2019-12-15,21983,0.0013801927925218577
2019-09-03,21972,0.0013795021624569102
2018-05-15,21972,0.0013795021624569102
2019-03-05,21971,0.0013794393779055514
2018-03-20,21968,0.0013792510242514747
2018-03-27,21964,0.0013789998860460394
2018-03-13,21960,0.0013787487478406038
2019-12-08,21960,0.0013787487478406038
2018-05-20,21957,0.0013785603941865272
2018-04-25,21955,0.0013784348250838094
2018-11-13,21953,0.0013783092559810919
2018-10-09,21953,0.0013783092559810919
2019-01-11,21934,0.0013771163495052735
2018-05-08,21926,0.0013766140730944025
2018-03-05,21920,0.0013762373657862494
2019-02-20,21898,0.0013748561056563544
2019-02-08,21896,0.0013747305365536366
2019-01-25,21889,0.0013742910446941246
2019-02-01,21888,0.0013742282601427657
2019-07-02,21882,0.0013738515528346127
2018-12-17,21880,0.0013737259837318949
2018-05-06,21862,0.0013725958618074354
2019-01-18,21858,0.0013723447236019999
2019-01-07,21851,0.001371905231742488
2018-09-03,21847,0.0013716540935370524
2019-09-04,21835,0.0013709006789207462
2019-02-11,21829,0.001370523971612593
2019-01-10,21823,0.0013701472643044398
2019-02-04,21819,0.0013698961260990043
2018-12-10,21819,0.0013698961260990043
2018-02-16,21814,0.00136958220334221
2018-12-03,21813,0.0013695194187908512
2019-02-07,21810,0.0013693310651367746
2019-11-05,21809,0.0013692682805854157
2018-04-03,21807,0.001369142711482698
2019-01-31,21802,0.0013688287887259037
2019-01-24,21801,0.0013687660041745448
2019-01-17,21800,0.001368703219623186
2018-10-14,21795,0.0013683892968663917
2018-07-01,21793,0.001368263727763674
2018-02-23,21792,0.001368200943212315
2019-01-14,21781,0.0013675103131473676
2018-10-21,21777,0.001367259174941932
2018-10-29,21776,0.0013671963903905734
2018-09-16,21776,0.0013671963903905734
2019-12-21,21773,0.0013670080367364967
2019-01-28,21772,0.0013669452521851378
2018-09-23,21771,0.001366882467633779
2018-04-10,21767,0.0013666313294283434
2018-09-30,21754,0.0013658151302606784
2018-03-01,21750,0.0013655639920552428
2018-09-09,21749,0.001365501207503884
2018-09-18,21743,0.0013651245001957309
2018-02-22,21740,0.0013649361465416542
2018-04-29,21740,0.0013649361465416542
2018-09-25,21733,0.0013644966546821422
2018-02-26,21724,0.0013639315937199125
2019-12-28,21723,0.0013638688091685536
2018-04-22,21715,0.0013633665327576828
