dep_time,frequency,relative_frequency
704.0,16825,0.0010737987925076734
1743.0,16825,0.0010737987925076734
1650.0,16821,0.0010735435060191128
1226.0,16818,0.0010733520411526924
858.0,16818,0.0010733520411526924
1953.0,16812,0.0010729691114198516
835.0,16810,0.0010728414681755716
1257.0,16782,0.001071054462755648
750.0,16768,0.001070160960045686
1540.0,16747,0.0010688207059807433
1350.0,16737,0.001068182489759342
821.0,16722,0.00106722516542724
1420.0,16708,0.0010663316627172784
1357.0,16697,0.001065629624873737
1825.0,16688,0.0010650552302744758
1252.0,16614,0.0010603324302361063
1524.0,16612,0.001060204786991826
819.0,16602,0.0010595665707704247
1510.0,16585,0.0010584816031940425
1952.0,16578,0.0010580348518390615
1457.0,16576,0.0010579072085947813
1729.0,16568,0.0010573966356176602
727.0,16559,0.001056822241018399
