first_dep_time,frequency,relative_frequency
1155.0,115,0.00016271781194065752
1731.0,114,0.00016130287444552136
1609.0,114,0.00016130287444552136
855.0,114,0.00016130287444552136
1734.0,114,0.00016130287444552136
1202.0,113,0.00015988793695038522
841.0,113,0.00015988793695038522
1300.0,113,0.00015988793695038522
900.0,113,0.00015988793695038522
1828.0,113,0.00015988793695038522
1219.0,113,0.00015988793695038522
1130.0,113,0.00015988793695038522
602.0,113,0.00015988793695038522
1124.0,113,0.00015988793695038522
950.0,113,0.00015988793695038522
1825.0,113,0.00015988793695038522
1814.0,113,0.00015988793695038522
823.0,113,0.00015988793695038522
1430.0,113,0.00015988793695038522
711.0,113,0.00015988793695038522
1543.0,113,0.00015988793695038522
1604.0,113,0.00015988793695038522
1629.0,113,0.00015988793695038522
1357.0,113,0.00015988793695038522
845.0,112,0.00015847299945524905
1735.0,112,0.00015847299945524905
1250.0,112,0.00015847299945524905
1212.0,112,0.00015847299945524905
1747.0,112,0.00015847299945524905
819.0,112,0.00015847299945524905
1323.0,112,0.00015847299945524905
1838.0,112,0.00015847299945524905
1210.0,112,0.00015847299945524905
1419.0,112,0.00015847299945524905
1854.0,112,0.00015847299945524905
1807.0,112,0.00015847299945524905
745.0,112,0.00015847299945524905
1537.0,112,0.00015847299945524905
1150.0,112,0.00015847299945524905
1640.0,112,0.00015847299945524905
1421.0,111,0.00015705806196011292
1337.0,111,0.00015705806196011292
1639.0,111,0.00015705806196011292
1223.0,111,0.00015705806196011292
1704.0,111,0.00015705806196011292
1517.0,111,0.00015705806196011292
1350.0,111,0.00015705806196011292
645.0,111,0.00015705806196011292
737.0,111,0.00015705806196011292
1719.0,111,0.00015705806196011292
1513.0,111,0.00015705806196011292
1950.0,111,0.00015705806196011292
1324.0,111,0.00015705806196011292
1438.0,111,0.00015705806196011292
1352.0,110,0.00015564312446497675
833.0,110,0.00015564312446497675
713.0,110,0.00015564312446497675
1447.0,110,0.00015564312446497675
1855.0,110,0.00015564312446497675
1853.0,110,0.00015564312446497675
839.0,110,0.00015564312446497675
1238.0,110,0.00015564312446497675
1347.0,110,0.00015564312446497675
616.0,110,0.00015564312446497675
1420.0,110,0.00015564312446497675
1749.0,110,0.00015564312446497675
1829.0,110,0.00015564312446497675
1541.0,110,0.00015564312446497675
1708.0,110,0.00015564312446497675
1418.0,110,0.00015564312446497675
1140.0,109,0.0001542281869698406
