origin_city_name,frequency,relative_frequency
"Pocatello, ID",2351,0.00014760648024468394
"Lewiston, ID",2349,0.00014748091114196623
"Wenatchee, WA",2336,0.00014666471197430104
"Hays, KS",2328,0.00014616243556343013
"Wichita Falls, TX",2313,0.0001452206672930472
"Plattsburgh, NY",2309,0.00014496952908761175
"Guam, TT",2217,0.00013919335036259649
"Latrobe, PA",2207,0.00013856550484900787
"Columbus, MS",2201,0.0001381887975408547
"Cody, WY",2187,0.00013730981382183063
"Joplin, MO",2185,0.00013718424471911291
"Hoolehua, HI",2171,0.00013630526100008884
"Grand Island, NE",2137,0.00013417058625388753
"Pellston, MI",2102,0.0001319731269563274
"New Haven, CT",2099,0.0001317847733022508
"Valdosta, GA",2070,0.00012996402131284381
"Brunswick, GA",2068,0.00012983845221012607
"Meridian, MS",2063,0.00012952452945333176
"Dubuque, IA",2051,0.00012877111483702543
"Belleville, IL",2036,0.0001278293465666425
"Albany, GA",2020,0.00012682479374490072
"Christiansted, VI",2018,0.000126699224642183
"Paducah, KY",2007,0.00012600859457723553
"Jamestown, ND",1972,0.00012381113527967536
"Deadhorse, AK",1962,0.00012318328976608674
"Binghamton, NY",1875,0.00011772103379786577
"Beaumont/Port Arthur, TX",1849,0.00011608863546253537
"Pueblo, CO",1839,0.00011546078994894675
"Walla Walla, WA",1821,0.00011433066802448723
"Stockton, CA",1782,0.00011188207052149162
"Longview, TX",1740,0.00010924511936441943
"Stillwater, OK",1675,0.00010516412352609342
"Bethel, AK",1662,0.00010434792435842822
"Clarksburg/Fairmont, WV",1661,0.00010428513980706935
"Niagara Falls, NY",1653,0.00010378286339619845
"Gunnison, CO",1627,0.00010215046506086805
"Salina, KS",1623,0.00010189932685543261
"Ponce, PR",1613,0.00010127148134184399
"Gillette, WY",1603,0.00010064363582825537
"Unalaska, AK",1599,0.00010039249762281993
"Cape Girardeau, MO",1573,9.876009928748952e-05
"Quincy, IL",1558,9.781833101710659e-05
"Williamsport, PA",1558,9.781833101710659e-05
"Rhinelander, WI",1526,9.580922537362302e-05
"Aberdeen, SD",1492,9.367455062742172e-05
"Saipan, TT",1485,9.323505876790968e-05
"Bemidji, MN",1481,9.298392056247425e-05
"Garden City, KS",1458,9.153987588122042e-05
"Barrow, AK",1454,9.128873767578497e-05
"Hancock/Houghton, MI",1449,9.097481491899066e-05
"Petersburg, AK",1443,9.059810761083749e-05
"Eau Claire, WI",1443,9.059810761083749e-05
