dest_airport_id,frequency,relative_frequency
12951,9767,0.0006132167131220026
11953,9686,0.0006081311644619348
11630,9667,0.0006069382579861164
11721,9501,0.0005965160224605454
14711,9385,0.0005892330145029174
11921,9367,0.0005881028925784579
11648,9136,0.0005735996612145609
12441,9123,0.0005727834620468956
13277,9058,0.0005687024662085696
11641,8917,0.0005598498444669702
12523,8910,0.0005594103526074581
13476,8908,0.0005592847835047404
11973,8782,0.0005513739300335238
14633,8422,0.0005287714915443336
12884,8402,0.0005275158005171564
15323,8377,0.0005259461867331848
11413,8227,0.0005165285040293555
15023,8189,0.0005141426910777188
14098,7978,0.000500895150740999
12206,7919,0.0004971908622108262
10469,7898,0.00049587238663229
13029,7150,0.00044890954221586145
10666,7039,0.0004419404570150278
14004,7009,0.00044005692047426195
11203,6995,0.0004391779367552379
11252,6847,0.0004298858231541263
13795,6729,0.00042247724609378065
10185,6661,0.0004182078966013781
10158,6387,0.0004010049295290499
11982,6379,0.00040050265311817907
12003,6302,0.0003956682426635467
15024,6284,0.0003945381207390872
10685,6240,0.0003917756004792973
11337,6170,0.00038738068188417694
11111,6055,0.00038016045847790787
13377,6016,0.0003777118609749122
13184,5975,0.0003751376943691989
11067,5909,0.00037099391397951405
12397,5855,0.00036760354820613547
14794,5846,0.00036703848724390574
12280,5683,0.0003568046053724113
15070,5627,0.00035328867049631504
13502,5627,0.00035328867049631504
15356,5611,0.00035228411767457323
13433,5570,0.0003497099510688599
10747,5316,0.000333762675023709
11537,5314,0.0003336371059209913
14674,5261,0.00033030952469897165
11617,5199,0.0003264168825147222
13061,5105,0.0003205151346869892
13360,5072,0.00031844324449214676
11577,5028,0.00031568072423235685
12819,4810,0.000301993692036125
10561,4792,0.00030086357011166546
11503,4749,0.0002981638344032344
12156,4702,0.0002952129604893679
11049,4572,0.0002870509688127159
11122,4396,0.0002760008877735562
13076,4334,0.0002721082455893068
10136,4291,0.00026940850988087575
10732,4261,0.0002675249733401099
11898,4216,0.0002646996685289611
11778,4212,0.0002644485303235257
15295,4193,0.00026325562384770727
13139,4153,0.0002607442417933528
12915,3910,0.00024548759581314943
14704,3885,0.00024391798202917785
13290,3816,0.0002395858479854164
11695,3730,0.0002341863765685543
13034,3623,0.00022746842957315608
15041,3617,0.00022709172226500292
14952,3605,0.00022633830764869658
12094,3535,0.00022194338905357625
10157,3493,0.00021930643789650405
12389,3434,0.00021560214936633122
10155,3389,0.00021277684455518243
14842,3311,0.00020787964954919121
12124,3297,0.00020700066583016717
16218,3296,0.0002069378812788083
12223,3087,0.00019381591004480618
15411,3003,0.0001885420077306618
14092,3003,0.0001885420077306618
13933,2879,0.00018075672336216296
13459,2751,0.00017272030078822865
14588,2751,0.00017272030078822865
11308,2747,0.0001724691625827932
14828,2685,0.00016857652039854376
12891,2675,0.00016794867488495517
12492,2658,0.0001668813375118545
14303,2627,0.00016493501641972979
10154,2623,0.00016468387821429436
11699,2610,0.00016386767904662914
14487,2557,0.00016054009782460947
11150,2549,0.00016003782141373857
15048,2528,0.00015871934583520247
16101,2514,0.00015784036211617843
15401,2465,0.00015476391909959418
12544,2367,0.00014861103306642575
14113,2350,0.00014754369569332508
13127,2350,0.00014754369569332508
11470,2336,0.00014666471197430104
12255,2329,0.000146225220114789
14960,2313,0.0001452206672930472
14025,2309,0.00014496952908761175
12016,2217,0.00013919335036259649
15389,2211,0.00013881664305444332
12898,2204,0.00013837715119493127
12007,2201,0.0001381887975408547
11097,2190,0.00013749816747590722
12511,2187,0.00013730981382183063
13347,2171,0.00013630526100008884
11980,2136,0.00013410780170252867
12917,2112,0.000132600972469916
12244,2101,0.00013191034240496853
14150,2101,0.00013191034240496853
15607,2070,0.00012996402131284381
10731,2068,0.00012983845221012607
13241,2064,0.00012958731400469062
11274,2051,0.00012877111483702543
10676,2033,0.00012764099291256593
10146,2020,0.00012682479374490072
15027,2018,0.000126699224642183
14006,2009,0.00012613416367995324
12519,1977,0.00012412505803646967
14709,1962,0.00012318328976608674
10577,1875,0.00011772103379786577
10728,1849,0.00011608863546253537
14288,1839,0.00011546078994894675
10275,1821,0.00011433066802448723
14716,1781,0.00011181928597013275
11905,1740,0.00010924511936441943
15074,1676,0.00010522690807745227
