mkt_carrier_fl_num,frequency,relative_frequency
2379,2929,0.00018389595093010603
1204,2928,0.00018383316637874718
1140,2926,0.00018370759727602946
1439,2926,0.00018370759727602946
3603,2925,0.00018364481272467058
2293,2925,0.00018364481272467058
1780,2924,0.00018358202817331172
1264,2924,0.00018358202817331172
1045,2923,0.00018351924362195287
149,2922,0.000183456459070594
5782,2921,0.00018339367451923516
2264,2920,0.00018333088996787627
2784,2919,0.00018326810541651741
127,2918,0.00018320532086515856
2194,2917,0.0001831425363137997
1449,2914,0.0001829541826597231
5110,2914,0.0001829541826597231
1994,2913,0.00018289139810836425
2332,2913,0.00018289139810836425
3491,2912,0.0001828286135570054
1726,2912,0.0001828286135570054
1864,2912,0.0001828286135570054
1370,2911,0.00018276582900564654
1528,2910,0.00018270304445428768
1312,2909,0.0001826402599029288
2117,2908,0.00018257747535156994
1379,2907,0.00018251469080021108
3418,2906,0.00018245190624885223
3404,2906,0.00018245190624885223
1576,2905,0.00018238912169749337
2385,2905,0.00018238912169749337
1570,2905,0.00018238912169749337
1620,2903,0.00018226355259477563
1812,2902,0.00018220076804341677
2137,2901,0.00018213798349205792
108,2900,0.00018207519894069906
3465,2900,0.00018207519894069906
2292,2899,0.00018201241438934018
5730,2898,0.00018194962983798132
3355,2897,0.00018188684528662246
3373,2897,0.00018188684528662246
1285,2895,0.00018176127618390475
49,2894,0.00018169849163254587
2185,2893,0.000181635707081187
1421,2893,0.000181635707081187
1089,2893,0.000181635707081187
3358,2891,0.0001815101379784693
4055,2891,0.0001815101379784693
3459,2889,0.00018138456887575158
1562,2889,0.00018138456887575158
2147,2889,0.00018138456887575158
1993,2889,0.00018138456887575158
1821,2888,0.0001813217843243927
194,2887,0.00018125899977303384
1417,2887,0.00018125899977303384
2507,2886,0.00018119621522167499
3417,2886,0.00018119621522167499
852,2886,0.00018119621522167499
1757,2884,0.00018107064611895727
880,2883,0.0001810078615675984
3547,2882,0.00018094507701623953
2207,2881,0.00018088229246488068
1761,2880,0.00018081950791352182
3536,2879,0.00018075672336216296
509,2878,0.00018069393881080408
1846,2878,0.00018069393881080408
5716,2878,0.00018069393881080408
3487,2877,0.00018063115425944522
3563,2876,0.00018056836970808637
2488,2876,0.00018056836970808637
1308,2875,0.0001805055851567275
3334,2874,0.00018044280060536865
2209,2872,0.0001803172315026509
3875,2872,0.0001803172315026509
3578,2871,0.00018025444695129206
1053,2871,0.00018025444695129206
889,2871,0.00018025444695129206
10,2871,0.00018025444695129206
1513,2871,0.00018025444695129206
1341,2870,0.0001801916623999332
1543,2870,0.0001801916623999332
874,2869,0.00018012887784857434
1622,2867,0.0001800033087458566
876,2867,0.0001800033087458566
3488,2863,0.00017975217054042118
917,2862,0.0001796893859890623
1004,2862,0.0001796893859890623
730,2861,0.00017962660143770344
1836,2861,0.00017962660143770344
3498,2859,0.00017950103233498572
3636,2858,0.00017943824778362687
2271,2858,0.00017943824778362687
1651,2857,0.00017937546323226798
2413,2857,0.00017937546323226798
1855,2856,0.00017931267868090913
1130,2856,0.00017931267868090913
1471,2856,0.00017931267868090913
6031,2852,0.00017906154047547367
1387,2852,0.00017906154047547367
1042,2852,0.00017906154047547367
2395,2851,0.00017899875592411482
1488,2851,0.00017899875592411482
5106,2850,0.00017893597137275596
1122,2850,0.00017893597137275596
1880,2850,0.00017893597137275596
1464,2849,0.0001788731868213971
5292,2847,0.00017874761771867936
1057,2847,0.00017874761771867936
4023,2847,0.00017874761771867936
1296,2846,0.0001786848331673205
3576,2846,0.0001786848331673205
4610,2846,0.0001786848331673205
848,2845,0.00017862204861596165
1368,2843,0.00017849647951324394
