arr_time,frequency,relative_frequency
1418.0,15872,0.001014029408641713
2125.0,15871,0.0010139655207001403
1102.0,15869,0.0010138377448169948
1021.0,15869,0.0010138377448169948
1659.0,15869,0.0010138377448169948
1605.0,15867,0.0010137099689338496
1005.0,15865,0.0010135821930507042
1117.0,15865,0.0010135821930507042
1051.0,15865,0.0010135821930507042
1712.0,15861,0.0010133266412844133
850.0,15861,0.0010133266412844133
1012.0,15859,0.001013198865401268
1343.0,15854,0.0010128794256934045
1055.0,15849,0.0010125599859855412
1059.0,15848,0.0010124960980439684
1052.0,15847,0.0010124322101023957
1120.0,15847,0.0010124322101023957
2123.0,15846,0.001012368322160823
1442.0,15845,0.0010123044342192503
1440.0,15843,0.001012176658336105
1019.0,15842,0.0010121127703945324
1344.0,15840,0.001011984994511387
1335.0,15836,0.0010117294427450963
1408.0,15835,0.0010116655548035236
1709.0,15834,0.0010116016668619509
1037.0,15827,0.001011154451270942
1023.0,15823,0.0010108988995046512
1609.0,15823,0.0010108988995046512
1926.0,15817,0.0010105155718552151
1122.0,15816,0.0010104516839136424
2049.0,15815,0.0010103877959720697
1631.0,15813,0.0010102600200889243
1410.0,15812,0.0010101961321473518
1835.0,15808,0.0010099405803810609
1130.0,15804,0.0010096850286147702
1350.0,15801,0.001009493364790052
1701.0,15797,0.0010092378130237612
847.0,15790,0.0010087905974327524
1420.0,15786,0.0010085350456664618
2051.0,15785,0.001008471157724889
1043.0,15784,0.0010084072697833164
1437.0,15782,0.001008279493900171
1413.0,15779,0.001008087830075453
2122.0,15779,0.001008087830075453
1342.0,15779,0.001008087830075453
1419.0,15778,0.0010080239421338803
1438.0,15777,0.0010079600541923076
1346.0,15776,0.0010078961662507348
1711.0,15774,0.0010077683903675894
1411.0,15770,0.0010075128386012988
1417.0,15770,0.0010075128386012988
1830.0,15765,0.0010071933988934354
1018.0,15764,0.0010071295109518627
1007.0,15763,0.00100706562301029
1612.0,15749,0.0010061711918282724
1355.0,15749,0.0010061711918282724
1040.0,15748,0.0010061073038866997
1125.0,15748,0.0010061073038866997
1345.0,15745,0.0010059156400619815
1024.0,15745,0.0010059156400619815
1009.0,15737,0.0010054045365294
1118.0,15734,0.0010052128727046819
1714.0,15734,0.0010052128727046819
1432.0,15733,0.0010051489847631094
1035.0,15732,0.0010050850968215366
1839.0,15730,0.0010049573209383912
1058.0,15730,0.0010049573209383912
1044.0,15726,0.0010047017691721003
1425.0,15721,0.001004382329464237
1022.0,15719,0.0010042545535810916
1030.0,15718,0.0010041906656395188
1715.0,15718,0.0010041906656395188
1347.0,15717,0.0010041267776979463
1833.0,15713,0.0010038712259316555
1352.0,15712,0.0010038073379900828
1831.0,15711,0.00100374345004851
1433.0,15702,0.0010031684585743558
1428.0,15700,0.0010030406826912106
2124.0,15697,0.0010028490188664925
1042.0,15697,0.0010028490188664925
2046.0,15694,0.0010026573550417743
2126.0,15689,0.001002337915333911
1608.0,15682,0.0010018906997429021
1349.0,15679,0.001001699035918184
1025.0,15677,0.0010015712600350388
1038.0,15676,0.001001507372093466
1607.0,15674,0.0010013795962103206
1421.0,15672,0.0010012518203271752
1604.0,15671,0.0010011879323856025
1834.0,15661,0.0010005490529698758
1713.0,15661,0.0010005490529698758
844.0,15660,0.001000485165028303
845.0,15656,0.0010002296132620122
1046.0,15655,0.0010001657253204395
1436.0,15654,0.001000101837378867
2048.0,15648,0.0009997185097294307
