origin_airport_id,frequency,relative_frequency
12945,3338,0.0014201251905448082
10292,3325,0.0014145944453449633
10170,3260,0.0013869407193457383
11775,3123,0.0013286551737781414
15919,3064,0.0013035540994096142
13180,3009,0.0012801547927948854
14512,3004,0.0012780275831026375
10868,2961,0.001259733579749304
13296,2927,0.0012452685538420173
11109,2861,0.0012171893859043428
12758,2797,0.0011899611018435674
10194,2793,0.0011882593340897692
10711,2782,0.0011835794727668234
11637,2744,0.001167412679105738
10849,2731,0.0011618819339058932
12217,2724,0.001158903840336746
14309,2682,0.001141035278921862
10785,2680,0.001140184395044963
14814,2659,0.0011312501143375209
12769,2652,0.0011282720207683736
15741,2640,0.0011231667175069784
10559,2601,0.0011065744819074433
10620,2561,0.0010895568043694588
14677,2554,0.0010865787108003116
10754,2536,0.0010789207559082185
12143,2504,0.001065306613877831
10416,2496,0.001061903078370234
15862,2438,0.0010372274459401565
11844,2424,0.001031271258801862
11638,2397,0.0010197843264637223
13894,2366,0.0010065956263717844
14193,2351,0.0010002139972950402
10135,2331,0.0009917051585260478
14082,2289,0.0009738365971111642
14286,2275,0.0009678804099728695
13434,2267,0.0009644768744652727
12853,2219,0.0009440556614196912
12321,2212,0.000941077567850544
10158,2200,0.0009359722645891486
14696,2196,0.0009342704968353502
12896,2191,0.0009321432871431021
12917,2162,0.0009198054709280632
14783,2143,0.0009117220740975207
14986,2142,0.000911296632159071
10874,2101,0.0008938535126826369
12779,2100,0.0008934280707441872
14709,2094,0.0008908754191134896
14895,2044,0.0008696033221910089
13514,2011,0.0008555637382221717
11227,2006,0.0008534365285299237
15721,1998,0.0008500329930223267
12708,1991,0.0008470548994531794
11603,1989,0.0008462040155762802
15024,1987,0.0008453531316993811
11823,1959,0.0008334407574227919
14234,1942,0.0008262082444691484
14838,1937,0.0008240810347769004
14739,1925,0.0008189757315155051
13710,1925,0.0008189757315155051
10747,1918,0.0008159976379463577
14627,1900,0.0008083396830542647
11977,1895,0.0008062124733620166
11492,1889,0.0008036598217313189
10980,1878,0.0007989799604083732
15085,1859,0.0007908965635778306
12709,1857,0.0007900456797009314
12855,1857,0.0007900456797009314
15282,1848,0.0007862167022548848
16042,1841,0.0007832386086857376
12851,1814,0.0007717516763475979
10185,1813,0.0007713262344091484
12831,1812,0.0007709007924706988
12195,1812,0.0007709007924706988
14828,1808,0.0007691990247169003
10581,1799,0.0007653700472708538
10411,1794,0.0007632428375786057
14689,1784,0.0007589884181941096
13369,1775,0.0007551594407480631
16149,1771,0.0007534576729942646
11535,1760,0.0007487778116713189
12704,1753,0.0007457997181021716
12448,1751,0.0007449488342252724
12954,1749,0.0007440979503483731
