dest,frequency,relative_frequency
DBQ,2051,0.00012877111483702543
BLV,2033,0.00012764099291256593
ABY,2020,0.00012682479374490072
STX,2018,0.000126699224642183
PAH,2009,0.00012613416367995324
JMS,1977,0.00012412505803646967
SCC,1962,0.00012318328976608674
BGM,1875,0.00011772103379786577
BPT,1849,0.00011608863546253537
PUB,1839,0.00011546078994894675
ALW,1821,0.00011433066802448723
SCK,1781,0.00011181928597013275
GGG,1740,0.00010924511936441943
SWO,1676,0.00010522690807745227
BET,1662,0.00010434792435842822
CKB,1660,0.00010422235525571049
IAG,1650,0.00010359450974212187
GUC,1627,0.00010215046506086805
SLN,1624,0.00010196211140679146
PSE,1614,0.00010133426589320284
GCC,1604,0.00010070642037961424
DUT,1598,0.00010032971307146106
CGI,1574,9.882288383884838e-05
UIN,1560,9.794390011982432e-05
IPT,1559,9.788111556846545e-05
RHI,1528,9.593479447634075e-05
ABR,1494,9.380011973013945e-05
SPN,1485,9.323505876790968e-05
BJI,1481,9.298392056247425e-05
GCK,1458,9.153987588122042e-05
BRW,1455,9.135152222714384e-05
CMX,1452,9.116316857306724e-05
PSG,1444,9.066089216219635e-05
WRG,1444,9.066089216219635e-05
YAK,1443,9.059810761083749e-05
EAU,1443,9.059810761083749e-05
MKG,1443,9.059810761083749e-05
CDV,1442,9.053532305947864e-05
OME,1441,9.047253850811977e-05
OTZ,1440,9.040975395676091e-05
PIB,1432,8.990747754589002e-05
ART,1431,8.984469299453115e-05
HOB,1423,8.934241658366025e-05
RFD,1422,8.92796320323014e-05
RKS,1413,8.871457107007163e-05
CDC,1385,8.695660363202352e-05
ALO,1375,8.63287581184349e-05
SHD,1373,8.620318901571717e-05
BTM,1354,8.50102825398988e-05
CIU,1349,8.469635978310449e-05
IMT,1326,8.325231510185067e-05
EKO,1322,8.300117689641523e-05
INL,1294,8.12432094583671e-05
DIK,1292,8.111764035564937e-05
PVU,1275,8.005030298254873e-05
ADQ,1273,7.9924733879831e-05
BRD,1269,7.967359567439555e-05
LAR,1250,7.848068919857718e-05
HIB,1247,7.82923355445006e-05
DVL,1247,7.82923355445006e-05
APN,1244,7.810398189042401e-05
ESC,1244,7.810398189042401e-05
LWB,1242,7.797841278770628e-05
BFF,1199,7.527867707927522e-05
LBF,1196,7.509032342519864e-05
LBL,1186,7.446247791161002e-05
MMH,1125,7.063262027871946e-05
MVY,1044,6.554707161865166e-05
CNY,1043,6.54842870672928e-05
PRC,974,6.115215302353133e-05
VEL,947,5.945697013684207e-05
PQI,943,5.9205831931406624e-05
EAR,885,5.556432795259264e-05
DRT,838,5.261345403872614e-05
OTH,753,4.727676717322289e-05
PSM,724,4.54560151838159e-05
OGS,665,4.175172665364306e-05
PIR,659,4.137501934548989e-05
CYS,573,3.597554792862778e-05
ATY,522,3.277353580932583e-05
WYS,503,3.158062933350746e-05
XWA,420,2.6369511570721932e-05
SMX,363,2.279079214326681e-05
