month,year,carrier,total_gallons
6,2015,5Y,30015537
7,2015,5Y,27228949
8,2015,5Y,35702518
9,2015,5Y,46138209
10,2015,5Y,31440866
11,2015,5Y,30129841
12,2015,5Y,29888212
1,2016,5Y,24809190
2,2016,5Y,25226278
3,2016,5Y,28789377
4,2016,5Y,30876150
5,2016,5Y,29633766
6,2016,5Y,30154889
7,2016,5Y,30859217
8,2016,5Y,31669793
9,2016,5Y,33641772
10,2016,5Y,37021014
11,2016,5Y,34001297
12,2016,5Y,33847336
1,2017,5Y,30535372
2,2017,5Y,24840589
3,2017,5Y,31757150
4,2017,5Y,32716779
5,2017,5Y,36604056
6,2017,5Y,36142526
7,2017,5Y,38458246
8,2017,5Y,38144004
9,2017,5Y,40343628
10,2017,5Y,41911121
11,2017,5Y,43157610
12,2017,5Y,42003639
1,2018,5Y,43050935
2,2018,5Y,36373954
3,2018,5Y,41242595
4,2018,5Y,42963903
5,2018,5Y,46779729
6,2018,5Y,45657707
7,2018,5Y,43578108
8,2018,5Y,46091262
9,2018,5Y,46202795
10,2018,5Y,48737592
11,2018,5Y,50629525
12,2018,5Y,47226566
1,2019,5Y,44410125
2,2019,5Y,37897490
3,2019,5Y,50676176
4,2019,5Y,50160128
5,2019,5Y,49527226
6,2019,5Y,47228695
7,2019,5Y,50202675
8,2019,5Y,50506521
9,2019,5Y,48653184
1,2015,8C,677344
2,2015,8C,638245
3,2015,8C,734945
4,2015,8C,852865
5,2015,8C,849334
6,2015,8C,705831
7,2015,8C,855219
8,2015,8C,796103
9,2015,8C,667016
10,2015,8C,918365
11,2015,8C,792119
12,2015,8C,737431
1,2016,8C,749252
2,2016,8C,677052
3,2016,8C,676465
4,2016,8C,658109
5,2016,8C,799411
6,2016,8C,727092
7,2016,8C,594718
8,2016,8C,661079
9,2016,8C,632389
10,2016,8C,631504
11,2016,8C,606992
12,2016,8C,732334
1,2017,8C,602543
2,2017,8C,600741
3,2017,8C,612181
4,2017,8C,597892
5,2017,8C,627245
6,2017,8C,617009
7,2017,8C,623150
8,2017,8C,686730
9,2017,8C,557085
10,2017,8C,700976
11,2017,8C,700138
12,2017,8C,766493
1,2018,8C,797305
2,2018,8C,721330
3,2018,8C,778307
4,2018,8C,621482
5,2018,8C,628901
6,2018,8C,583419
7,2018,8C,649443
8,2018,8C,547553
9,2018,8C,562776
10,2018,8C,850604
11,2018,8C,794330
12,2018,8C,665666
1,2019,8C,765851
2,2019,8C,679645
3,2019,8C,703041
4,2019,8C,1096450
5,2019,8C,846706
6,2019,8C,773865
7,2019,8C,860060
8,2019,8C,801979
9,2019,8C,819601
1,2015,9E,0
2,2015,9E,0
3,2015,9E,0
4,2015,9E,0
5,2015,9E,0
6,2015,9E,0
7,2015,9E,0
8,2015,9E,0
9,2015,9E,0
10,2015,9E,0
11,2015,9E,0
12,2015,9E,0
1,2016,9E,0
2,2016,9E,0
3,2016,9E,0
4,2016,9E,0
5,2016,9E,0
6,2016,9E,0
7,2016,9E,0
8,2016,9E,0
9,2016,9E,0
10,2016,9E,0
11,2016,9E,0
12,2016,9E,0
1,2017,9E,0
2,2017,9E,0
3,2017,9E,0
4,2017,9E,0
5,2017,9E,0
6,2017,9E,0
7,2017,9E,0
8,2017,9E,0
9,2017,9E,0
10,2017,9E,0
11,2017,9E,0
12,2017,9E,0
1,2018,9E,0
2,2018,9E,0
3,2018,9E,0
4,2018,9E,0
5,2018,9E,0
6,2018,9E,0
7,2018,9E,0
8,2018,9E,0
9,2018,9E,0
10,2018,9E,0
11,2018,9E,0
12,2018,9E,0
1,2019,9E,0
2,2019,9E,0
3,2019,9E,0
4,2019,9E,0
5,2019,9E,0
6,2019,9E,0
7,2019,9E,0
8,2019,9E,0
9,2019,9E,0
1,2015,9S,3922432
2,2015,9S,4514024
3,2015,9S,5289768
4,2015,9S,4881042
5,2015,9S,5117795
6,2015,9S,5079857
7,2015,9S,5074207
8,2015,9S,5388904
9,2015,9S,5223428
10,2015,9S,6387395
11,2015,9S,5866742
12,2015,9S,6265046
1,2016,9S,6098523
2,2016,9S,4928643
3,2016,9S,6502939
4,2016,9S,6094992
5,2016,9S,6307554
6,2016,9S,6199687
7,2016,9S,6415568
8,2016,9S,5931051
9,2016,9S,6450652
10,2016,9S,6196275
11,2016,9S,6279836
12,2016,9S,6236942
1,2017,9S,5451526
2,2017,9S,5296073
3,2017,9S,6384736
4,2017,9S,6114526
5,2017,9S,6216970
6,2017,9S,6562085
7,2017,9S,6709429
8,2017,9S,6585979
9,2017,9S,6678165
10,2017,9S,6405491
11,2017,9S,6614197
12,2017,9S,6750833
1,2018,9S,5339185
2,2018,9S,4713140
3,2018,9S,5990596
4,2018,9S,5850792
5,2018,9S,6371833
6,2018,9S,8715680
7,2018,9S,9535003
8,2018,9S,6704811
9,2018,9S,7170103
10,2018,9S,8354440
11,2018,9S,8354440
12,2018,9S,7466658
1,2019,9S,6850007
2,2019,9S,6159111
3,2019,9S,7617225
4,2019,9S,7466445
5,2019,9S,7911553
6,2019,9S,6914484
7,2019,9S,7821501
8,2019,9S,8134510
9,2019,9S,7855357
1,2015,AA,199989023
2,2015,AA,177015380
3,2015,AA,207126152
4,2015,AA,203505557
5,2015,AA,212416201
6,2015,AA,214108956
7,2015,AA,334771274
8,2015,AA,327066559
9,2015,AA,292644948
10,2015,AA,298816240
11,2015,AA,277163393
12,2015,AA,299040562
1,2016,AA,282748633
2,2016,AA,266861016
3,2016,AA,305541690
4,2016,AA,292255226
5,2016,AA,313190128
6,2016,AA,325213057
7,2016,AA,338537054
8,2016,AA,326327141
9,2016,AA,288059629
10,2016,AA,293028703
11,2016,AA,268977142
12,2016,AA,294981569
1,2017,AA,281546168
2,2017,AA,251931550
3,2017,AA,297980337
4,2017,AA,293519381
5,2017,AA,316861045
6,2017,AA,323711138
7,2017,AA,338445228
8,2017,AA,331667373
9,2017,AA,277280454
10,2017,AA,301099617
11,2017,AA,268463191
12,2017,AA,296899904
1,2018,AA,283974071
2,2018,AA,261946387
3,2018,AA,298906244
4,2018,AA,297784292
5,2018,AA,318954880
6,2018,AA,327277749
7,2018,AA,341082450
8,2018,AA,334937605
9,2018,AA,302313376
10,2018,AA,309826329
11,2018,AA,275209633
12,2018,AA,292016200
1,2019,AA,286544730
2,2019,AA,264286537
3,2019,AA,301971007
4,2019,AA,291008622
5,2019,AA,319972133
6,2019,AA,327437203
7,2019,AA,338595043
8,2019,AA,338196501
9,2019,AA,303854847
1,2015,ABX,25773
2,2015,ABX,61286
3,2015,ABX,37579
4,2015,ABX,52597
5,2015,ABX,43151
6,2015,ABX,163837
7,2015,ABX,16240
8,2015,ABX,46663
9,2015,ABX,71385
10,2015,ABX,38448
11,2015,ABX,146031
12,2015,ABX,99353
1,2016,ABX,193054
2,2016,ABX,252917
3,2016,ABX,312309
4,2016,ABX,161669
5,2016,ABX,74254
6,2016,ABX,41106
7,2016,ABX,168462
8,2016,ABX,112827
9,2016,ABX,186590
10,2016,ABX,100804
11,2016,ABX,45896
12,2016,ABX,31953
1,2017,ABX,17328
2,2017,ABX,16484
3,2017,ABX,24522
4,2017,ABX,55914
5,2017,ABX,29271
6,2017,ABX,93272
7,2017,ABX,35785
8,2017,ABX,62859
9,2017,ABX,79338
10,2017,ABX,77495
11,2017,ABX,80700
12,2017,ABX,39054
1,2018,ABX,44160
2,2018,ABX,52160
3,2018,ABX,61992
4,2018,ABX,163281
5,2018,ABX,196691
6,2018,ABX,175886
7,2018,ABX,183134
8,2018,ABX,179809
9,2018,ABX,160456
10,2018,ABX,148940
11,2018,ABX,303415
12,2018,ABX,157837
1,2019,ABX,229897
2,2019,ABX,147714
3,2019,ABX,134567
4,2019,ABX,194952
5,2019,ABX,149718
6,2019,ABX,133419
7,2019,ABX,158928
8,2019,ABX,159484
9,2019,ABX,135237
1,2015,AS,34289533
2,2015,AS,31180227
3,2015,AS,37518963
4,2015,AS,35882825
5,2015,AS,36409301
6,2015,AS,37408359
7,2015,AS,39261441
8,2015,AS,39206246
9,2015,AS,34924089
10,2015,AS,36465629
11,2015,AS,37345855
12,2015,AS,39238958
1,2016,AS,37667477
2,2016,AS,35531494
3,2016,AS,39596833
4,2016,AS,38598758
5,2016,AS,39132120
6,2016,AS,40343833
7,2016,AS,41708931
8,2016,AS,42038582
9,2016,AS,35681303
10,2016,AS,36464139
11,2016,AS,37567435
12,2016,AS,40085978
1,2017,AS,39857764
2,2017,AS,35759665
3,2017,AS,42521771
4,2017,AS,41438274
5,2017,AS,42468870
6,2017,AS,43528091
7,2017,AS,45137382
8,2017,AS,44708656
9,2017,AS,39374312
10,2017,AS,40472631
11,2017,AS,40500606
12,2017,AS,43156895
1,2018,AS,58008156
2,2018,AS,53190592
3,2018,AS,61086840
4,2018,AS,60819149
5,2018,AS,63119777
6,2018,AS,64229624
7,2018,AS,66618692
8,2018,AS,65204794
9,2018,AS,57233475
10,2018,AS,59541567
11,2018,AS,58118677
12,2018,AS,59640959
1,2019,AS,57084165
2,2019,AS,51311445
3,2019,AS,60609906
4,2019,AS,59726464
5,2019,AS,62777186
6,2019,AS,64578199
7,2019,AS,67620392
8,2019,AS,66611391
9,2019,AS,58850785
1,2015,B6,54865666
2,2015,B6,49577711
3,2015,B6,58064503
4,2015,B6,57363395
5,2015,B6,57258465
6,2015,B6,59381765
7,2015,B6,65428178
8,2015,B6,64992149
9,2015,B6,54777304
10,2015,B6,56723630
11,2015,B6,56967583
12,2015,B6,64457001
1,2016,B6,60623708
2,2016,B6,58151853
3,2016,B6,64395121
4,2016,B6,62428968
5,2016,B6,63549584
6,2016,B6,65324308
7,2016,B6,69519324
8,2016,B6,69445570
9,2016,B6,59288359
10,2016,B6,60156712
11,2016,B6,60220076
12,2016,B6,66674932
1,2017,B6,65243539
2,2017,B6,58336161
3,2017,B6,67293849
4,2017,B6,66754669
5,2017,B6,66782697
6,2017,B6,68337422
7,2017,B6,73698512
8,2017,B6,72953838
9,2017,B6,58109658
10,2017,B6,63731813
11,2017,B6,62830254
12,2017,B6,67877148
1,2018,B6,66886288
2,2018,B6,62754922
3,2018,B6,69593014
4,2018,B6,70477962
5,2018,B6,72693063
6,2018,B6,72081982
7,2018,B6,76885689
8,2018,B6,76718254
9,2018,B6,68771391
10,2018,B6,69258116
11,2018,B6,68913393
12,2018,B6,74132762
1,2019,B6,70408211
2,2019,B6,66427970
3,2019,B6,76399651
4,2019,B6,75177112
5,2019,B6,74539278
6,2019,B6,74781183
7,2019,B6,79776775
8,2019,B6,79758935
9,2019,B6,69038422
1,2015,CP,0
2,2015,CP,0
3,2015,CP,0
4,2015,CP,0
5,2015,CP,0
6,2015,CP,0
7,2015,CP,0
8,2015,CP,0
9,2015,CP,0
10,2015,CP,0
11,2015,CP,0
12,2015,CP,0
1,2016,CP,0
2,2016,CP,0
3,2016,CP,0
4,2016,CP,0
5,2016,CP,0
6,2016,CP,0
7,2016,CP,0
8,2016,CP,0
9,2016,CP,0
10,2016,CP,0
11,2016,CP,0
12,2016,CP,0
1,2017,CP,0
2,2017,CP,0
3,2017,CP,0
4,2017,CP,0
5,2017,CP,0
6,2017,CP,0
7,2017,CP,0
8,2017,CP,0
9,2017,CP,0
10,2017,CP,0
11,2017,CP,0
12,2017,CP,0
1,2018,CP,0
2,2018,CP,0
3,2018,CP,0
4,2018,CP,0
5,2018,CP,0
6,2018,CP,0
7,2018,CP,0
8,2018,CP,0
9,2018,CP,0
10,2018,CP,0
11,2018,CP,0
12,2018,CP,0
1,2019,CP,0
2,2019,CP,0
3,2019,CP,0
4,2019,CP,0
5,2019,CP,0
6,2019,CP,0
7,2019,CP,0
8,2019,CP,0
9,2019,CP,0
1,2015,DL,257516542
2,2015,DL,233335396
3,2015,DL,282710444
4,2015,DL,277118620
5,2015,DL,292917532
6,2015,DL,309368932
7,2015,DL,328391577
8,2015,DL,329584040
9,2015,DL,282681028
10,2015,DL,277460867
11,2015,DL,252400573
12,2015,DL,265370656
1,2016,DL,260151248
2,2016,DL,244665334
3,2016,DL,280976475
4,2016,DL,279599419
5,2016,DL,299428448
6,2016,DL,313711612
7,2016,DL,333299312
8,2016,DL,325186619
9,2016,DL,283634295
10,2016,DL,278656882
11,2016,DL,246598174
12,2016,DL,266709237
1,2017,DL,258186982
2,2017,DL,232594072
3,2017,DL,282647518
4,2017,DL,276154416
5,2017,DL,297988933
6,2017,DL,321313848
7,2017,DL,336013082
8,2017,DL,335216652
9,2017,DL,283484031
10,2017,DL,290657760
11,2017,DL,255869239
12,2017,DL,268005821
1,2018,DL,264566092
2,2018,DL,243541538
3,2018,DL,291878202
4,2018,DL,285819352
5,2018,DL,307656630
6,2018,DL,325372441
7,2018,DL,343768695
8,2018,DL,344620993
9,2018,DL,293360620
10,2018,DL,292898585
11,2018,DL,263318204
12,2018,DL,275489241
1,2019,DL,273706863
2,2019,DL,248074450
3,2019,DL,299952005
4,2019,DL,296111146
5,2019,DL,318173288
6,2019,DL,336183657
7,2019,DL,351133142
8,2019,DL,351127851
9,2019,DL,303891710
