fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-04-08,WN,WN,WN,2054,WN,N432WN,2054,14100,PHL,"Philadelphia, PA",10397,ATL,"Atlanta, GA",1210,1210,0,36,1246,1430,13,1430,1443,13,0,,0,N,140,153,104,1,666,,,,,,,,,
2019-04-08,WN,WN,WN,2270,WN,N7705A,2270,14100,PHL,"Philadelphia, PA",10397,ATL,"Atlanta, GA",1645,1647,2,9,1656,1841,5,1900,1846,-14,0,,0,N,135,119,105,1,666,,,,,,,,,
2019-04-08,WN,WN,WN,249,WN,N7861J,249,14100,PHL,"Philadelphia, PA",10693,BNA,"Nashville, TN",1725,1725,0,9,1734,1826,3,1830,1829,-1,0,,0,N,125,124,112,1,675,,,,,,,,,
2019-04-08,WN,WN,WN,380,WN,N7815L,380,14100,PHL,"Philadelphia, PA",10693,BNA,"Nashville, TN",530,527,-3,9,536,628,4,640,632,-8,0,,0,N,130,125,112,1,675,,,,,,,,,
2019-04-08,WN,WN,WN,904,WN,N7822A,904,14100,PHL,"Philadelphia, PA",10693,BNA,"Nashville, TN",1350,1345,-5,14,1359,1446,5,1505,1451,-14,0,,0,N,135,126,107,1,675,,,,,,,,,
2019-04-08,WN,WN,WN,2033,WN,N487WN,2033,14100,PHL,"Philadelphia, PA",11259,DAL,"Dallas, TX",1515,1607,52,17,1624,1826,5,1745,1831,46,0,,0,N,210,204,182,1,1295,43,0,0,0,3,,,,
2019-04-08,WN,WN,WN,409,WN,N759GS,409,14100,PHL,"Philadelphia, PA",11292,DEN,"Denver, CO",1010,1017,7,8,1025,1207,6,1225,1213,-12,0,,0,N,255,236,222,1,1558,,,,,,,,,
2019-04-08,WN,WN,WN,1753,WN,N8641B,1753,14100,PHL,"Philadelphia, PA",11292,DEN,"Denver, CO",745,740,-5,9,749,938,6,950,944,-6,0,,0,N,245,244,229,1,1558,,,,,,,,,
2019-04-08,WN,WN,WN,324,WN,N8694E,324,14100,PHL,"Philadelphia, PA",11697,FLL,"Fort Lauderdale, FL",735,737,2,10,747,958,3,1025,1001,-24,0,,0,N,170,144,131,1,992,,,,,,,,,
2019-04-08,WN,WN,WN,6571,WN,N920WN,6571,14100,PHL,"Philadelphia, PA",12191,HOU,"Houston, TX",1605,1633,28,9,1642,1922,3,1900,1925,25,0,,0,N,235,232,220,1,1336,10,0,0,0,15,,,,
