fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-06-27,AA,AA_CODESHARE,AA,6066,CP,N201NN,6066,12892,LAX,"Los Angeles, CA",14893,SMF,"Sacramento, CA",2230,2304,34,14,2318,18,3,2359,21,22,0,,0,N,89,77,60,1,373,0,0,0,0,22,,,,
2018-02-21,B6,B6,B6,735,B6,N657JB,735,14771,SFO,"San Francisco, CA",12954,LGB,"Long Beach, CA",603,556,-7,32,628,725,4,725,729,4,0,,0,N,82,93,57,1,354,,,,,,,,,
2018-01-12,AA,AA,AA,486,AA,N183UW,486,14771,SFO,"San Francisco, CA",14107,PHX,"Phoenix, AZ",1540,1536,-4,30,1606,1840,8,1849,1848,-1,0,,0,N,129,132,94,1,651,,,,,,,,,
2018-04-30,UA,UA,UA,392,UA,N890UA,392,14057,PDX,"Portland, OR",14771,SFO,"San Francisco, CA",730,727,-3,60,827,945,37,921,1022,61,0,,0,N,111,175,78,1,550,0,0,61,0,0,,,,
2019-12-02,UA,UA_CODESHARE,UA,3928,ZW,N463AW,3928,13342,MKE,"Milwaukee, WI",13930,ORD,"Chicago, IL",1358,1412,14,26,1438,1506,12,1455,1518,23,0,,0,N,57,66,28,1,67,14,0,9,0,0,,,,
2018-04-20,DL,DL,DL,2474,DL,N343NB,2474,12478,JFK,"New York, NY",14027,PBI,"West Palm Beach/Palm Beach, FL",830,828,-2,42,910,1133,3,1140,1136,-4,0,,0,N,190,188,143,1,1028,,,,,,,,,
2019-12-12,AS,AS_CODESHARE,AS,3348,OO,N181SY,3348,14771,SFO,"San Francisco, CA",11259,DAL,"Dallas, TX",1600,1558,-2,13,1611,2055,4,2141,2059,-42,0,,0,N,221,181,164,1,1476,,,,,,,,,
2019-01-10,AA,AA,AA,2423,AA,N894NN,2423,12478,JFK,"New York, NY",11298,DFW,"Dallas/Fort Worth, TX",1813,1809,-4,47,1856,2117,14,2128,2131,3,0,,0,N,255,262,201,1,1391,,,,,,,,,
2018-02-26,UA,UA_CODESHARE,UA,4469,G7,N164GJ,4469,11292,DEN,"Denver, CO",14683,SAT,"San Antonio, TX",952,1006,14,19,1025,1312,6,1305,1318,13,0,,0,N,133,132,107,1,794,,,,,,,,,
2018-02-20,DL,DL_CODESHARE,DL,3863,9E,N8891A,3863,10821,BWI,"Baltimore, MD",14492,RDU,"Raleigh/Durham, NC",1015,1211,116,10,1221,1308,7,1129,1315,106,0,,0,N,74,64,47,1,255,0,106,0,0,0,,,,
2019-08-22,F9,F9,F9,1190,F9,N354FR,1190,14492,RDU,"Raleigh/Durham, NC",14679,SAN,"San Diego, CA",1007,957,-10,14,1011,1142,7,1244,1149,-55,0,,0,N,337,292,271,1,2193,,,,,,,,,
2018-11-05,AA,AA,AA,969,AA,N935AN,969,12478,JFK,"New York, NY",12889,LAS,"Las Vegas, NV",730,807,37,33,840,1059,7,1030,1106,36,0,,0,N,360,359,319,1,2248,36,0,0,0,0,724.0,26,26,
